,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,MiscVal,MoSold,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType,SalePrice_log,SalePrice,BsmtCond_Gd,BsmtCond_None,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,HasGasHeating_1,HasSBrkr_1,HasEx_1,HasGd_1,HasGLQ_1,HasPavedDrive_1,HasTA_1
14,14,20,70.04995836802665,10920,6,5,212.0,TA,733,0,520,1253,1253,0,1253,2,1,5,1,1960.0,352,0,0,5,2506,48,389,2.5,0,0,1,0,0,1,0,1,0,1,11.964001084330445,157000,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
15,15,45,51.0,6120,7,8,0.0,TA,0,0,832,832,854,0,854,2,1,5,0,1991.0,576,48,0,7,1686,6,112,1.0,0,0,1,1,0,0,0,0,0,1,11.790557201568507,132000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
16,16,20,70.04995836802665,11241,6,7,180.0,TA,578,0,426,1004,1004,0,1004,2,1,5,1,1970.0,480,0,700,3,2008,40,0,2.0,0,0,0,0,0,1,0,1,0,1,11.911701584927595,149000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
17,17,90,72.0,10791,4,5,0.0,TA,0,0,0,0,1296,0,1296,2,2,6,0,1967.0,516,0,500,10,1296,39,0,2.0,0,0,0,0,0,0,0,0,0,1,11.407564949312404,90000,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
18,18,20,66.0,13695,5,5,0.0,TA,646,0,468,1114,1114,0,1114,3,1,6,0,2004.0,576,0,0,6,2228,4,102,2.5,0,0,1,0,0,0,0,2,0,1,11.976659481202367,159000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1
19,19,20,70.0,7560,5,6,0.0,TA,504,0,525,1029,1339,0,1339,3,1,6,0,1958.0,294,0,0,5,2368,44,0,1.0,0,0,0,0,0,0,0,1,0,1,11.842229212112827,139000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
20,20,60,101.0,14215,8,5,380.0,Gd,0,0,1158,1158,1158,0,2376,4,1,9,1,2005.0,853,240,0,11,3534,0,154,3.5,3,1,1,1,0,1,0,2,0,2,12.692503112461445,325300,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
21,21,45,57.0,7449,7,7,0.0,TA,0,0,637,637,1108,0,1108,3,1,6,1,1930.0,280,0,0,6,1745,57,205,1.0,0,0,1,0,0,0,0,2,0,0,11.84510277730856,139400,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
22,22,20,75.0,9742,8,5,281.0,Gd,0,0,1777,1777,1795,0,1795,3,1,7,1,2002.0,534,171,0,9,3572,6,159,2.0,0,0,1,1,0,0,0,2,0,1,12.345834587905333,230000,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
23,23,120,44.0,4224,5,7,0.0,TA,840,0,200,1040,1060,0,1060,3,1,6,1,1976.0,572,100,0,6,2100,31,110,2.0,0,0,1,1,0,0,0,2,0,0,11.774520202658689,129900,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
24,24,20,70.04995836802665,8246,5,8,0.0,TA,188,668,204,1060,1060,0,1060,3,1,6,1,1968.0,270,406,0,5,2120,9,90,2.0,0,0,1,1,0,1,0,1,0,1,11.944707881395766,154000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
25,25,20,110.0,14230,8,5,640.0,Gd,0,0,1566,1566,1600,0,1600,3,1,7,1,2007.0,890,0,0,7,3166,2,56,2.0,3,0,1,0,0,0,0,2,1,2,12.454103912352162,256300,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
26,26,20,60.0,7200,5,7,0.0,TA,234,486,180,900,900,0,900,3,1,5,0,2005.0,576,222,0,5,1800,10,32,1.5,0,0,1,1,0,0,0,1,0,1,11.811547477460346,134800,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
27,27,20,98.0,11478,8,5,200.0,Gd,1218,0,486,1704,1704,0,1704,3,1,7,1,2008.0,772,0,0,5,3408,2,50,3.0,3,0,1,0,0,0,0,2,1,2,12.631340380934516,306000,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
28,28,20,47.0,16321,5,6,0.0,TA,1277,0,207,1484,1600,0,1600,2,1,6,2,1957.0,319,288,0,12,3084,9,258,2.0,0,0,1,1,0,1,0,1,0,1,12.24288661865289,207500,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1
29,29,30,60.0,6324,4,6,0.0,TA,0,0,520,520,520,0,520,1,1,4,0,1920.0,240,49,0,5,1040,58,87,1.0,0,0,1,1,0,1,0,0,0,1,11.134589024250317,68500,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
30,30,70,50.0,8500,4,4,0.0,TA,0,0,649,649,649,0,1317,3,1,6,0,1920.0,250,0,0,7,1966,58,226,1.0,0,1,1,0,0,0,0,0,0,0,10.596634733096073,40000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
31,31,20,70.04995836802665,8544,5,6,0.0,TA,0,0,1228,1228,1228,0,1228,3,1,6,0,1966.0,271,0,0,6,2456,2,65,1.5,0,0,1,0,0,1,0,1,0,1,11.914047823644257,149350,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
32,32,20,85.0,11049,8,5,0.0,Gd,0,0,1234,1234,1234,0,1234,3,1,7,0,2007.0,484,0,0,1,2468,1,30,2.0,0,0,1,0,0,0,0,2,0,1,12.100156419938624,179900,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1
33,33,20,70.0,10552,5,5,0.0,TA,1018,0,380,1398,1700,0,1700,4,1,6,1,1959.0,447,0,0,4,3098,51,38,2.0,0,0,1,0,0,1,0,1,0,1,12.016726473799254,165500,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
34,34,120,60.0,7313,9,5,246.0,Ex,1153,0,408,1561,1561,0,1561,2,1,6,1,2005.0,556,203,0,8,3122,2,47,3.0,0,0,1,1,0,0,0,2,0,2,12.533576212168624,277500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
35,35,60,108.0,13418,8,5,132.0,Gd,0,0,1117,1117,1132,0,2452,4,1,9,1,2004.0,691,113,0,9,3569,1,32,3.5,3,1,1,1,0,0,0,2,1,2,12.641096555879884,309000,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1
36,36,20,112.0,10859,5,5,0.0,TA,0,0,1097,1097,1097,0,1097,3,1,6,0,1995.0,672,392,0,6,2194,14,64,1.5,0,0,1,1,0,0,0,2,0,1,11.884489021402711,145000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
37,37,20,74.0,8532,5,6,650.0,TA,1213,0,84,1297,1297,0,1297,3,1,5,1,1954.0,498,0,0,10,2594,19,0,1.5,0,0,0,0,0,0,0,1,0,1,11.938193200374572,153000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
38,38,20,68.0,7922,5,7,0.0,TA,731,0,326,1057,1057,0,1057,3,1,5,0,1953.0,246,0,0,1,2114,3,52,2.0,0,0,1,0,0,0,0,1,0,1,11.599103161211278,109000,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1
39,39,90,65.0,6040,4,5,0.0,TA,0,0,0,0,1152,0,1152,2,2,6,0,,0,0,0,6,1152,53,0,2.0,0,0,0,0,0,0,0,2,0,1,11.314474526246393,82000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
40,40,20,84.0,8658,6,5,101.0,TA,643,0,445,1088,1324,0,1324,3,1,6,1,1965.0,440,0,0,12,2412,41,138,2.0,0,0,1,0,0,0,0,1,0,1,11.982929094215965,160000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
41,41,20,115.0,16905,5,6,0.0,TA,967,0,383,1350,1328,0,1328,2,1,5,2,1959.0,308,0,0,7,2678,48,104,2.0,0,0,1,0,0,0,0,1,0,1,12.0435537160324,170000,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
42,42,85,70.04995836802665,9180,5,7,0.0,TA,747,93,0,840,884,0,884,2,1,5,0,1983.0,504,240,0,12,1724,24,0,2.0,0,0,0,1,0,1,0,1,0,1,11.877568578558137,144000,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
43,43,20,70.04995836802665,9200,5,6,0.0,TA,280,491,167,938,938,0,938,3,1,5,0,1977.0,308,145,0,7,1876,28,0,2.0,0,0,0,1,0,1,0,1,0,1,11.777210959615614,130250,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
44,44,20,70.0,7945,5,6,0.0,TA,179,506,465,1150,1150,0,1150,3,1,6,0,1959.0,300,0,0,5,2300,47,0,2.0,0,0,0,0,0,0,0,1,0,1,11.856515169360303,141000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
45,45,120,61.0,7658,9,5,412.0,Ex,456,0,1296,1752,1752,0,1752,2,1,6,1,2005.0,576,196,0,2,3504,5,82,3.0,0,0,1,1,0,0,0,2,0,2,12.675763725937607,319900,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
46,46,50,48.0,12822,7,5,0.0,Gd,1351,0,83,1434,1518,0,2149,1,1,6,1,2003.0,670,168,0,8,3583,6,241,2.5,0,1,1,1,0,1,0,2,0,1,12.3870850123755,239686,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
47,47,20,84.0,11096,8,5,0.0,Gd,24,0,1632,1656,1656,0,1656,3,1,7,0,2006.0,826,0,0,7,3312,1,146,2.0,3,0,1,0,0,0,0,2,0,1,12.428015476267865,249700,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
48,48,190,33.0,4456,4,5,0.0,TA,0,0,736,736,736,0,1452,2,3,8,0,,0,0,0,6,2188,1,102,2.0,0,1,1,0,0,0,0,0,0,1,11.635143097694476,113000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
49,49,20,66.0,7742,5,7,0.0,TA,763,0,192,955,955,0,955,3,1,6,0,1966.0,386,0,0,1,1910,41,0,2.0,0,0,0,0,0,0,0,1,0,1,11.751942365440726,127000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
50,50,60,70.04995836802665,13869,6,6,0.0,TA,182,0,612,794,794,0,1470,3,1,6,0,1997.0,388,0,0,7,2264,10,75,2.5,0,1,1,0,0,1,0,2,0,1,12.083905011555967,177000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
51,51,50,52.0,6240,6,6,0.0,TA,0,0,816,816,816,360,1176,3,1,6,1,1985.0,528,112,400,9,1992,56,0,1.0,0,0,0,1,0,0,0,2,0,1,11.648330101976432,114500,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
52,52,90,110.0,8472,5,5,0.0,Fa,104,712,0,816,816,0,816,2,1,5,0,1963.0,516,106,0,5,1632,47,0,2.0,0,0,0,1,0,1,1,1,0,0,11.608235644774554,110000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
53,53,20,68.0,50271,9,5,0.0,Gd,1810,0,32,1842,1842,0,1842,0,1,5,1,1981.0,894,857,0,11,3684,19,72,2.5,3,0,1,1,0,1,0,1,0,1,12.86099861326992,385000,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
54,54,80,60.0,7134,5,5,0.0,TA,384,0,0,384,1360,0,1360,3,1,6,1,1962.0,572,0,0,2,1744,52,50,1.0,0,0,1,0,0,0,1,1,0,1,11.77528972943772,130000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
55,55,20,100.0,10175,6,5,272.0,TA,490,0,935,1425,1425,0,1425,3,1,7,1,1964.0,576,0,0,7,2850,44,407,2.0,0,0,1,0,0,1,0,1,0,1,12.103486056755074,180500,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
56,56,160,24.0,2645,8,5,456.0,Gd,649,0,321,970,983,0,1739,3,1,7,0,1999.0,480,115,0,8,2709,9,0,3.5,0,1,0,1,0,0,0,2,0,1,12.058152515453553,172500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
57,57,60,89.0,11645,7,5,0.0,Gd,0,0,860,860,860,0,1720,3,1,7,0,2004.0,565,0,0,8,2580,2,70,2.5,0,1,1,0,0,1,0,2,0,1,12.188417710291452,196500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
58,58,60,66.0,13682,10,5,1031.0,Ex,0,0,1410,1410,1426,0,2945,3,1,10,1,2006.0,641,192,0,10,4355,0,37,3.5,3,1,1,1,0,1,0,2,0,2,12.991753427493052,438780,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1
59,59,20,60.0,7200,5,7,0.0,TA,632,0,148,780,780,0,780,2,1,4,0,1973.0,352,196,0,1,1560,36,0,1.0,0,0,0,1,0,0,0,1,0,1,11.73526869611367,124900,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
60,60,20,63.0,13072,6,5,0.0,TA,941,0,217,1158,1158,0,1158,3,1,5,0,2006.0,576,0,0,5,2316,2,50,2.5,0,0,1,0,0,0,0,2,0,1,11.970350312009106,158000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
61,61,75,60.0,7200,5,7,0.0,TA,0,0,530,530,581,0,1111,3,1,6,0,1935.0,288,0,0,3,1641,11,144,1.0,0,1,1,0,0,0,0,0,0,0,11.522875795823396,101000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
62,62,120,44.0,6442,8,5,178.0,Gd,24,0,1346,1370,1370,0,1370,2,1,6,1,2006.0,484,120,0,10,2740,1,49,2.0,0,0,1,1,0,1,0,2,1,2,12.218495165528731,202500,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
63,63,70,50.0,10300,7,6,0.0,TA,0,0,576,576,902,0,1710,3,1,9,0,1990.0,480,12,0,4,2286,60,75,2.0,0,1,1,1,0,1,0,0,0,1,11.849397701591439,140000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
64,64,60,70.04995836802665,9375,7,5,573.0,TA,739,0,318,1057,1057,0,2034,3,1,8,0,1998.0,645,576,0,2,3091,11,36,3.5,0,1,1,1,0,0,0,2,0,1,12.299107511497365,219500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
65,65,60,76.0,9591,8,5,344.0,Gd,0,0,1143,1143,1143,0,2473,4,1,9,1,2004.0,852,192,0,10,3616,2,151,2.5,3,1,1,1,0,0,0,2,0,2,12.666657052859414,317000,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
66,66,20,70.04995836802665,19900,7,5,287.0,TA,912,0,1035,1947,2207,0,2207,3,1,7,1,1970.0,576,301,0,7,4154,21,0,3.0,0,0,0,1,0,0,0,1,0,1,12.100712129872349,180000,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
67,67,20,72.0,10665,7,5,167.0,Gd,1013,0,440,1453,1479,0,1479,3,1,7,0,2003.0,558,144,0,6,2932,4,29,3.0,0,0,1,1,0,1,0,2,0,1,12.328290278254425,226000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
68,68,30,47.0,4608,4,6,0.0,TA,0,0,747,747,747,0,747,2,1,4,0,1945.0,220,0,0,6,1494,60,0,1.0,0,0,0,0,0,0,0,1,0,1,11.289781913656018,80000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
69,69,50,81.0,15593,7,4,0.0,Gd,603,0,701,1304,1304,0,2287,3,1,7,1,1953.0,667,0,0,7,3591,53,135,2.0,0,1,1,0,0,0,0,1,0,1,12.323855681186556,225000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
70,70,20,95.0,13651,7,6,1115.0,TA,1880,0,343,2223,2223,0,2223,3,1,8,2,1973.0,516,300,0,2,4446,34,0,3.0,0,0,0,1,0,1,0,1,0,1,12.404923504275338,244000,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
71,71,20,69.0,7599,4,6,0.0,TA,565,0,280,845,845,0,845,2,1,4,0,1987.0,360,0,0,6,1690,1,0,2.0,0,0,0,0,0,0,0,1,0,1,11.771436160121727,129500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
72,72,60,74.0,10141,7,5,40.0,TA,0,0,832,832,885,0,1718,3,1,7,1,1998.0,427,0,0,12,2550,11,385,2.5,0,1,1,0,0,1,0,2,0,1,12.128111104060464,185000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
73,73,20,85.0,10200,5,7,104.0,TA,320,362,404,1086,1086,0,1086,3,1,6,0,1989.0,490,0,0,5,2172,7,0,2.0,0,0,0,0,0,0,0,1,0,1,11.883799128308773,144900,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
