MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Age,AgeRemod,HasHouseRemod,HasGarageRemod,TotalSF,TotPorchSF,TotBaths,HasPool,HasMiscFeat,HasModernCircBreak,HasGasHeating,HasCompRoofMatl,HasLandSlope,HasFlatLand,HasPavedStrt,HasCentralAir,HasAlley,SalePrice_log
MSSC_20,RL,70.0,9.32375833901174,Reg,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,1.4953487812212205,1965.0,1965.0,Hip,HdBoard,HdBoard,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,3.0,6.810142450115136,1.0,0.0,134.0,1040.0,1953125.0,6.947937068614969,0.0,6.947937068614969,1,0,1,0,3,1,1.3160740129524924,5,Typ,0,0.0,Detchd,4.0,1,384.0,9.0,27.0,19683.0,0.0,0.0,0.0,0.0,0.0,No Fence,0.0,Feb,2008,WD,Normal,129500,43,43,0,0,1046.947937068615,0.0,2.0,0,0,1,1,1,0,1,1,1,0,11.771436160121729
MSSC_60,RL,85.0,9.386392315756542,IR1,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9.0,1.4953487812212205,2005.0,2006.0,Hip,WdShing,Wd Shng,Stone,1.8960417361485307,1.4953487812212205,1.3160740129524924,PConc,25.0,9.0,1.0,6.0,6.906754778648554,1.0,0.0,177.0,1175.0,1953125.0,7.075808863978387,2.0846046478524793,7.751475318021456,1,0,3,0,4,1,1.4953487812212205,11,Typ,2,2.0,BuiltIn,16.0,3,736.0,9.0,27.0,19683.0,1.791294740218941,3.091042453358316,0.0,0.0,0.0,No Fence,0.0,July,2006,New,Partial,345000,1,0,0,0,1182.7514753180214,3.091042453358316,4.0,0,0,1,1,1,0,1,1,1,0,12.751299696013497
MSSC_20,RL,71.0,9.470317173335742,other,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,1.5650845800732873,1962.0,1962.0,Hip,HdBoard,Plywood,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,5.0,6.6039438246004725,1.0,0.0,175.0,912.0,19683.0,6.816735880594968,0.0,6.816735880594968,1,0,1,0,2,1,1.3160740129524924,4,Typ,0,0.0,Detchd,4.0,1,352.0,9.0,27.0,19683.0,1.783182776049518,0.0,0.0,0.0,0.7114699529130536,No Fence,0.0,Sept,2008,WD,Normal,144000,46,46,0,0,918.8167358805949,0.7114699529130536,2.0,0,0,1,1,1,0,1,1,1,0,11.877568578558138
MSSC_20,RL,91.0,9.273596821611198,IR1,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7.0,1.4953487812212205,2006.0,2007.0,Gable,VinylSd,VinylSd,Stone,1.9061066457543656,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.7320508075688772,1.0,0.0,1.0,0.0,1494.0,1494.0,1953125.0,7.3098814858247865,0.0,7.3098814858247865,0,0,2,0,3,1,1.4142135623730951,7,Typ,1,2.0,Attchd,9.0,3,840.0,9.0,27.0,19683.0,1.8052356503890232,3.5263605246161616,0.0,0.0,0.0,No Fence,0.0,Aug,2007,New,Partial,279500,1,0,0,0,1501.3098814858247,3.5263605246161616,2.0,0,0,1,1,1,0,1,1,1,0,12.540757571577291
MSSC_20,RL,73.0,9.298442820197728,IR1,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6.0,1.4953487812212205,1960.0,1960.0,Hip,MetalSd,MetalSd,BrkFace,1.8502315274246866,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,4.0,6.598509028614515,1.0,0.0,520.0,1253.0,19683.0,7.134093721192866,0.0,7.134093721192866,1,0,1,1,2,1,1.3160740129524924,5,Typ,1,1.4142135623730951,Attchd,9.0,1,352.0,9.0,27.0,19683.0,0.0,5.365976015021851,0.7114699529130536,0.0,0.0,GdWo,0.0,May,2008,WD,Normal,157000,48,48,0,0,1260.1340937211928,6.077445967934905,2.5,0,0,1,1,1,0,1,1,1,0,11.964001084330445
MSSC_45,RM,51.0,8.71948076085107,Reg,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,1.6817928305074292,1929.0,2001.0,Gable,Wd Sdng,Wd Sdng,None,0.0,1.3160740129524924,1.3160740129524924,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,832.0,832.0,1953125.0,6.75110146893676,0.0,6.75110146893676,0,0,1,0,2,1,1.3160740129524924,5,Typ,0,0.0,Detchd,4.0,2,576.0,9.0,27.0,19683.0,1.5875644833216505,4.727387818712341,0.0,0.0,0.0,GdPrv,0.0,July,2007,WD,Normal,132000,78,6,0,1,838.7511014689368,4.727387818712341,1.0,0,0,0,1,1,0,1,1,1,0,11.790557201568507
MSSC_20,RL,73.0,9.32741204356202,IR1,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6.0,1.6265765616977859,1970.0,1970.0,Gable,Wd Sdng,Wd Sdng,BrkFace,1.8243068483519838,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,5.0,6.361302477572996,1.0,0.0,426.0,1004.0,1953125.0,6.912742820493176,0.0,6.912742820493176,1,0,1,0,2,1,1.3160740129524924,5,Typ,1,1.7320508075688772,Attchd,16.0,2,480.0,9.0,27.0,19683.0,0.0,0.0,0.0,0.0,0.0,No Fence,0.7447329799130843,Mar,2010,WD,Normal,149000,40,40,0,0,1010.9127428204931,0.0,2.0,0,1,1,1,1,0,1,1,1,0,11.911701584927597
MSSC_90,RL,72.0,9.286560397887591,Reg,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4.0,1.4953487812212205,1967.0,1967.0,Gable,MetalSd,MetalSd,None,0.0,1.3160740129524924,1.3160740129524924,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19683.0,7.167809184316444,0.0,7.167809184316444,0,0,2,0,2,2,1.3160740129524924,6,Typ,0,0.0,CarPort,4.0,2,516.0,9.0,27.0,19683.0,0.0,0.0,0.0,0.0,0.0,No Fence,0.7375034345627082,Oct,2006,WD,Normal,90000,39,39,0,0,7.167809184316444,0.0,2.0,0,1,1,1,1,0,1,1,1,0,11.407564949312402
MSSC_20,RL,66.0,9.524859098381523,Reg,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5.0,1.4953487812212205,2004.0,2004.0,Gable,VinylSd,VinylSd,None,0.0,1.3160740129524924,1.3160740129524924,PConc,9.0,9.0,1.0,6.0,6.472346294500901,1.0,0.0,468.0,1114.0,1953125.0,7.016609683894219,0.0,7.016609683894219,1,0,1,1,3,1,1.4142135623730951,6,Typ,0,0.0,Detchd,4.0,2,576.0,9.0,27.0,19683.0,0.0,4.634728988229636,0.0,0.0,0.0,No Fence,0.0,June,2008,WD,Normal,159000,4,4,0,0,1121.0166096838943,4.634728988229636,2.5,0,0,1,1,1,0,1,1,1,0,11.976659481202368
MSSC_20,RL,70.0,8.93075873555827,Reg,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,1.5650845800732873,1958.0,1965.0,Hip,BrkFace,Plywood,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,2.0,6.22455842927536,1.0,0.0,525.0,1029.0,19683.0,7.200424892944957,0.0,7.200424892944957,0,0,1,0,3,1,1.3160740129524924,6,Min1,0,0.0,Attchd,4.0,1,294.0,9.0,27.0,19683.0,0.0,0.0,0.0,0.0,0.0,MnPrv,0.0,May,2009,COD,Abnorml,139000,51,44,0,0,1036.200424892945,0.0,1.0,0,0,1,1,1,0,1,1,1,0,11.842229212112828
MSSC_60,RL,101.0,9.562123369834488,IR1,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,8.0,1.4953487812212205,2005.0,2006.0,Gable,VinylSd,VinylSd,BrkFace,1.9377050613615177,1.4142135623730951,1.3160740129524924,PConc,25.0,9.0,1.7320508075688772,1.0,0.0,1.0,0.0,1158.0,1158.0,1953125.0,7.055312843339752,2.092578143634172,7.773594467360194,0,0,3,1,4,1,1.4142135623730951,9,Typ,1,2.0,BuiltIn,9.0,3,853.0,9.0,27.0,19683.0,1.8694605040153234,5.043425116919247,0.0,0.0,0.0,No Fence,0.0,Nov,2006,New,Partial,325300,1,0,0,0,1165.7735944673602,5.043425116919247,3.5,0,0,1,1,1,0,1,1,1,0,12.692503112461443
MSSC_45,RM,57.0,8.915969311373605,Reg,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.0,1.6265765616977859,1930.0,1950.0,Gable,Wd Sdng,Wd Sdng,None,0.0,1.3160740129524924,1.3160740129524924,PConc,9.0,9.0,1.0,1.0,0.0,1.0,0.0,637.0,637.0,1953125.0,7.011213987350367,0.0,7.011213987350367,0,0,1,0,3,1,1.4142135623730951,6,Typ,1,2.0,Attchd,4.0,1,280.0,9.0,27.0,0.0,0.0,0.0,0.7156670179122586,0.0,0.0,GdPrv,0.0,June,2007,WD,Normal,139400,77,57,0,0,644.0112139873504,0.7156670179122586,1.0,0,0,0,1,1,0,0,1,1,1,11.845102777308561
MSSC_20,RL,75.0,9.184304357425342,Reg,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,8.0,1.4953487812212205,2002.0,2002.0,Hip,VinylSd,VinylSd,BrkFace,1.8933991317302272,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.0,1.0,0.0,1.0,0.0,1777.0,1777.0,1953125.0,7.493317248862145,0.0,7.493317248862145,0,0,2,0,3,1,1.4142135623730951,7,Typ,1,2.0,Attchd,9.0,2,534.0,9.0,27.0,19683.0,1.8160445966634724,5.075173815233827,0.0,0.0,0.0,No Fence,0.0,Sept,2008,WD,Normal,230000,6,6,0,0,1784.4933172488622,5.075173815233827,2.0,0,0,1,1,1,0,1,1,1,0,12.345834587905333
MSSC_120,RM,44.0,8.348774539791274,Reg,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,1.6265765616977859,1976.0,1976.0,Gable,CemntBd,CmentBd,None,0.0,1.3160740129524924,1.3160740129524924,PConc,16.0,9.0,1.0,6.0,6.734591659972948,1.0,0.0,200.0,1040.0,19683.0,6.966967138613983,0.0,6.966967138613983,1,0,1,0,3,1,1.3160740129524924,6,Typ,1,1.7320508075688772,Attchd,4.0,2,572.0,9.0,27.0,19683.0,1.7254630513334037,4.709530201312334,0.0,0.0,0.0,No Fence,0.0,June,2007,WD,Normal,129900,31,31,0,0,1046.9669671386139,4.709530201312334,2.0,0,0,1,1,1,0,1,1,1,0,11.77452020265869
MSSC_20,RL,71.0,9.017604776833355,IR1,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,1.6817928305074292,1968.0,2001.0,Gable,Plywood,Plywood,None,0.0,1.3160740129524924,1.4142135623730951,CBlock,9.0,9.0,1.4142135623730951,3.0,5.241747015059643,2.23606797749979,0.7437563233591077,204.0,1060.0,1953125.0,6.966967138613983,0.0,6.966967138613983,1,0,1,0,3,1,1.4142135623730951,6,Typ,1,1.7320508075688772,Attchd,4.0,1,270.0,9.0,27.0,19683.0,1.947168383637879,4.51085950651685,0.0,0.0,0.0,MnPrv,0.0,May,2010,WD,Normal,154000,42,9,0,0,1066.9669671386139,4.51085950651685,2.0,0,0,1,1,1,0,1,1,1,0,11.944707881395766
MSSC_20,RL,110.0,9.56317796268366,Reg,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,8.0,1.4953487812212205,2007.0,2007.0,Gable,VinylSd,VinylSd,Stone,2.0099614252030538,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.0,1.0,0.0,1.0,0.0,1566.0,1566.0,1953125.0,7.3783837129967145,0.0,7.3783837129967145,0,0,2,0,3,1,1.4142135623730951,7,Typ,1,2.0,Attchd,9.0,3,890.0,9.0,27.0,19683.0,0.0,4.04305126783455,0.0,0.0,0.0,No Fence,0.0,July,2009,WD,Normal,256300,2,2,0,0,1573.3783837129968,4.04305126783455,2.0,0,0,1,1,1,0,1,1,1,0,12.454103912352162
MSSC_20,RL,60.0,8.881975184248867,Reg,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,5.0,1.6265765616977859,1951.0,2000.0,Gable,Wd Sdng,Wd Sdng,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.4142135623730951,4.0,5.459585514144159,1.7320508075688772,0.7368704497244931,180.0,900.0,19683.0,6.803505257608338,0.0,6.803505257608338,0,1,1,0,3,1,1.4142135623730951,5,Typ,0,0.0,Detchd,4.0,2,576.0,9.0,27.0,19683.0,1.8574179522647456,3.4965075614664802,0.0,0.0,0.0,No Fence,0.0,May,2010,WD,Normal,134800,59,10,0,1,906.8035052576083,3.4965075614664802,1.5,0,0,1,1,1,0,1,1,1,0,11.811547477460344
MSSC_20,RL,98.0,9.348274558065496,Reg,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,8.0,1.4953487812212205,2007.0,2008.0,Gable,VinylSd,VinylSd,Stone,1.8410740844298052,1.4142135623730951,1.3160740129524924,PConc,25.0,9.0,1.0,6.0,7.105786129481271,1.0,0.0,486.0,1704.0,1953125.0,7.4413203897176174,0.0,7.4413203897176174,1,0,2,0,3,1,1.4142135623730951,7,Typ,1,2.0,Attchd,9.0,3,772.0,9.0,27.0,19683.0,0.0,3.9318256327243257,0.0,0.0,0.0,No Fence,0.0,May,2010,WD,Normal,306000,3,2,0,1,1711.4413203897177,3.9318256327243257,3.0,0,0,1,1,1,0,1,1,1,0,12.631340380934517
MSSC_20,RL,47.0,9.700269170029188,IR1,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5.0,1.5650845800732873,1957.0,1997.0,Gable,MetalSd,MetalSd,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,2.0,4.0,7.15305163493748,1.0,0.0,207.0,1484.0,19683.0,7.3783837129967145,0.0,7.3783837129967145,1,0,1,0,2,1,1.3160740129524924,6,Typ,2,2.0,Attchd,9.0,1,319.0,9.0,27.0,19683.0,1.8970839874548464,5.556828061699537,0.0,0.0,0.0,No Fence,0.0,Dec,2006,WD,Normal,207500,49,9,0,0,1491.3783837129968,5.556828061699537,2.0,0,0,1,1,1,0,1,1,1,0,12.24288661865289
MSSC_30,RM,60.0,8.752265313595721,IR1,AllPub,Inside,BrkSide,Artery,AdjRR_200ft,1Fam,1Story,4.0,1.5650845800732873,1927.0,1950.0,Gable,MetalSd,MetalSd,None,0.0,1.3160740129524924,1.3160740129524924,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,520.0,520.0,512.0,6.255750041753367,0.0,6.255750041753367,0,0,1,0,1,1,1.189207115002721,4,Typ,0,0.0,Detchd,4.0,1,240.0,4.0,27.0,19683.0,1.5916858743493758,0.0,0.6898823598382903,0.0,0.0,No Fence,0.0,May,2008,WD,Normal,68500,81,58,0,0,526.2557500417533,0.6898823598382903,1.0,0,0,1,1,1,0,1,1,0,0,11.134589024250317
MSSC_70,other,50.0,9.04793908261736,Reg,AllPub,Inside,IDOTRR,Artery,Norm,1Fam,2Story,4.0,1.4142135623730951,1920.0,1950.0,Gambrel,BrkFace,BrkFace,None,0.0,1.3160740129524924,1.189207115002721,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,649.0,649.0,19683.0,6.476972362889683,2.015673931331266,7.183870715062453,0,0,1,0,3,1,1.3160740129524924,6,Typ,0,0.0,Detchd,4.0,1,250.0,9.0,8.0,0.0,0.0,4.007333185232471,0.710823986108068,0.0,0.0,MnPrv,0.0,July,2008,WD,Normal,40000,88,58,0,0,656.1838707150624,4.718157171340539,1.0,0,0,1,1,1,0,1,1,0,1,10.596634733096073
MSSC_20,RL,71.0,9.053101595549691,IR1,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5.0,1.5650845800732873,1966.0,2006.0,Gable,HdBoard,HdBoard,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,1.0,0.0,1.0,0.0,1228.0,1228.0,262144.0,7.113956109566034,0.0,7.113956109566034,0,0,1,1,3,1,1.4142135623730951,6,Typ,0,0.0,Attchd,4.0,1,271.0,9.0,27.0,19683.0,0.0,4.189654742026425,0.0,0.0,0.0,MnPrv,0.0,June,2008,WD,Normal,149350,42,2,0,0,1235.113956109566,4.189654742026425,1.5,0,0,1,1,1,0,1,1,1,0,11.914047823644255
MSSC_20,RL,85.0,9.3101857069459,Reg,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,8.0,1.4953487812212205,2007.0,2007.0,Gable,VinylSd,VinylSd,None,0.0,1.4142135623730951,1.3160740129524924,PConc,25.0,9.0,1.7320508075688772,1.0,0.0,1.0,0.0,1234.0,1234.0,1953125.0,7.118826249062078,0.0,7.118826249062078,0,0,2,0,3,1,1.4142135623730951,7,Typ,0,0.0,Attchd,9.0,2,484.0,9.0,27.0,19683.0,0.0,3.4339872044851463,0.0,0.0,0.0,No Fence,0.0,Jan,2008,WD,Normal,179900,1,1,0,0,1241.118826249062,3.4339872044851463,2.0,0,0,1,1,1,0,1,1,1,0,12.100156419938624
MSSC_20,RL,70.0,9.26416545867109,IR1,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,1.4953487812212205,1959.0,1959.0,Hip,BrkFace,BrkFace,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,9.0,9.0,1.0,3.0,6.926577033222725,1.0,0.0,380.0,1398.0,262144.0,7.438971592395862,0.0,7.438971592395862,0,1,1,1,4,1,1.4142135623730951,6,Typ,1,2.0,Attchd,9.0,2,447.0,9.0,27.0,19683.0,0.0,3.6635616461296463,0.0,0.0,0.0,No Fence,0.0,Apr,2010,WD,Normal,165500,51,51,0,0,1405.4389715923958,3.6635616461296463,2.0,0,0,1,1,1,0,1,1,1,0,12.016726473799254
