"","Id","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation"
"28",28,4,2,3,1,4,1,5,1,16,3,3,1,3,2,2,13,13,4,4,3,3
"29",29,4,2,3,2,4,1,2,1,13,3,3,1,3,2,2,9,9,3,3,3,2
"30",30,5,2,3,2,4,1,5,1,4,2,8,1,3,2,2,9,9,3,3,3,1
"31",31,1,2,2,1,4,1,5,1,10,2,3,1,6,3,2,4,4,3,3,2,1
"32",32,4,2,3,2,4,1,2,1,19,3,3,1,3,2,2,7,7,3,3,3,2
"33",33,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,13,13,3,4,3,3
"34",34,4,2,3,2,4,1,5,1,13,3,3,1,3,4,2,4,4,3,3,3,2
"35",35,4,2,3,1,4,1,5,1,16,3,3,5,3,4,2,9,9,2,5,3,3
"36",36,4,2,3,1,4,1,5,1,16,3,3,1,6,2,2,13,13,4,4,3,3
"37",37,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,13,13,3,3,3,3
"38",38,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,14,14,2,3,3,2
"39",39,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,13,13,3,3,4,2
"40",40,4,2,3,1,4,1,5,1,8,3,3,3,3,2,2,1,10,3,3,3,3
"41",41,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,14,14,2,3,3,2
"42",42,4,2,3,1,4,1,5,1,24,3,3,1,3,2,2,13,13,3,3,4,2
"43",43,4,2,3,2,4,1,2,1,20,3,3,1,7,2,2,7,7,3,3,3,2
"44",44,4,2,3,2,4,1,2,1,6,3,3,1,3,4,2,13,13,3,3,3,2
"45",45,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,4,14,3,3,3,2
"46",46,4,2,3,1,4,1,5,1,16,3,3,5,3,4,2,9,9,2,5,3,3
"47",47,4,2,3,2,4,1,2,1,12,3,3,1,1,2,2,13,13,3,4,3,3
"48",48,2,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,3,4,3,3
"49",49,5,2,3,1,4,1,5,1,18,3,3,2,6,2,2,9,9,3,3,3,1
"50",50,4,2,3,1,4,1,5,1,19,3,3,1,3,2,2,7,7,3,3,3,2
"51",51,4,2,3,3,4,1,1,1,9,3,3,1,6,2,2,13,13,3,3,3,3
"52",52,5,2,3,1,4,1,5,1,4,3,3,1,1,2,2,14,14,3,3,3,3
"53",53,5,1,3,3,1,1,1,2,10,9,3,3,3,2,2,14,14,3,2,3,2
"54",54,4,2,3,2,3,1,5,1,25,3,3,1,3,2,8,15,15,3,4,3,2
"55",55,4,2,3,1,1,1,5,2,13,3,3,1,8,2,2,9,9,3,3,3,2
"56",56,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,7,10,2,3,3,2
"57",57,2,2,2,1,4,1,5,1,21,3,3,4,6,2,2,9,9,2,4,3,3
"58",58,4,2,3,2,4,1,1,1,6,3,3,1,6,2,2,13,13,3,4,3,3
"59",59,4,2,3,3,2,1,2,1,22,3,3,1,6,4,2,13,13,2,5,3,3
"60",60,4,2,3,1,1,1,5,1,6,3,3,1,3,2,2,7,7,3,3,3,2
"61",61,4,2,3,1,4,1,5,1,20,6,3,1,3,2,2,13,13,3,3,3,3
"62",62,5,2,3,1,4,1,5,1,10,3,3,1,5,2,2,9,9,3,3,3,1
"63",63,4,2,3,2,4,1,5,1,16,3,3,5,3,2,2,13,13,4,4,3,3
"64",64,5,2,3,2,1,1,5,1,18,7,2,1,6,2,2,12,12,3,3,3,1
"65",65,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,3,3,3
"66",66,4,2,3,1,4,1,5,1,16,3,3,1,6,2,2,13,13,2,4,3,3
"67",67,4,2,3,1,4,1,5,1,13,4,3,1,3,2,2,10,10,2,3,3,2
"68",68,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,2,4,3,3
"69",69,5,2,3,1,4,1,1,1,18,1,3,1,3,2,2,9,9,3,3,4,2
"70",70,4,2,3,1,4,1,1,1,5,3,3,1,1,2,2,4,1,3,4,3,2
"71",71,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,10,10,2,3,4,2
"72",72,4,2,3,1,4,1,1,1,12,3,3,1,3,2,2,7,10,3,3,3,2
"73",73,4,2,3,2,4,1,1,1,9,3,3,1,6,2,2,13,13,2,3,3,3
"74",74,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,14,14,2,3,3,2
"75",75,5,2,3,1,4,1,1,1,18,3,3,1,6,3,2,13,13,3,4,4,2
"76",76,5,2,3,1,4,1,5,1,11,3,3,4,8,2,2,6,6,3,3,3,2
"77",77,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,13,13,3,3,3,2
"78",78,5,2,3,1,4,1,5,1,4,3,3,1,1,2,2,14,14,3,3,3,2
"79",79,4,2,3,1,4,1,5,1,19,3,3,3,3,4,2,7,7,3,3,3,2
"80",80,5,2,1,1,4,1,1,1,18,3,3,1,6,2,2,14,14,3,3,3,3
"81",81,4,2,3,1,4,1,1,1,13,3,3,1,6,2,2,13,13,2,3,4,2
"82",82,5,2,3,1,4,1,3,1,12,3,3,5,3,4,2,13,13,2,3,4,3
"83",83,4,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,4,3,3,3
"84",84,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,9,9,1,3,3,2
"85",85,4,2,3,2,4,1,5,1,9,3,3,1,8,2,2,7,7,2,3,3,3
"86",86,4,2,3,1,4,1,1,1,14,3,3,1,6,4,2,7,7,2,4,3,2
"87",87,4,2,3,3,4,1,5,1,9,3,3,1,6,2,2,13,13,3,4,3,3
"88",88,2,2,2,1,4,1,1,1,21,3,3,5,6,2,2,13,13,4,4,3,3
"89",89,1,2,3,2,4,1,1,1,10,2,2,1,1,4,2,10,10,3,2,2,2
"90",90,4,2,3,1,4,1,5,1,6,3,3,1,3,2,2,13,13,3,3,3,3
"91",91,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,4,14,3,3,3,4
"92",92,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,7,7,1,3,3,2
"93",93,4,2,1,2,2,1,5,1,7,3,3,1,3,2,2,14,14,3,3,4,1
"94",94,1,2,3,1,4,1,1,1,18,3,3,2,5,4,2,9,9,3,3,3,1
"95",95,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,13,13,3,3,4,3
"96",96,4,2,3,3,4,1,1,1,9,3,3,1,6,2,2,13,13,2,5,4,3
"97",97,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,2,4,3,3
"98",98,4,2,3,1,2,1,5,1,8,3,3,1,3,4,2,7,7,2,3,3,2
"99",99,4,2,3,1,4,1,1,1,8,3,3,1,3,2,2,14,14,3,3,3,1
"100",100,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,10,10,3,3,3,2
"101",101,4,2,3,2,4,1,5,1,17,3,3,1,3,2,2,10,10,2,3,3,3
"102",102,4,2,3,1,4,1,5,1,20,3,3,1,6,2,2,7,7,2,4,3,2
"103",103,4,2,3,1,1,1,5,1,20,3,3,3,3,2,2,7,7,3,3,2,4
"104",104,4,2,3,2,4,1,1,1,6,3,3,1,3,2,2,13,13,3,3,3,3
"105",105,5,2,3,1,4,1,1,1,10,3,3,1,1,2,2,12,12,2,3,2,3
"106",106,2,2,3,1,4,1,5,1,21,3,3,1,6,4,2,13,13,2,4,3,3
"107",107,5,2,1,1,4,1,5,1,18,3,3,1,3,5,2,13,13,3,3,3,1
"108",108,5,2,3,1,4,1,5,1,18,3,3,1,3,2,2,13,13,3,3,3,2
"109",109,5,2,3,1,4,1,1,1,10,1,3,1,1,2,2,6,6,3,3,3,2
"110",110,4,2,3,2,4,1,5,1,17,3,3,1,3,4,2,10,10,2,3,3,2
"111",111,4,2,3,1,4,1,5,1,8,3,3,1,1,2,2,14,14,3,3,3,2
"112",112,4,2,3,2,4,1,5,1,9,3,3,1,8,2,2,13,13,3,3,3,3
"113",113,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,4,4,3,3
"114",114,4,2,3,1,1,1,1,1,7,3,3,1,3,4,2,14,14,2,3,4,2
"115",115,4,2,3,2,4,1,5,2,7,3,3,1,6,3,2,14,14,3,3,3,2
"116",116,2,2,2,1,4,1,1,1,21,3,3,5,6,2,2,9,9,2,3,3,3
"117",117,4,2,3,1,4,1,5,1,19,3,3,1,3,2,2,14,14,2,3,3,2
"118",118,4,2,3,1,4,1,1,1,8,3,3,1,3,2,2,13,13,3,3,3,3
"119",119,4,2,3,1,4,1,1,1,20,3,3,1,6,4,2,10,10,3,3,3,3
"120",120,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,3,4,3,3
"121",121,4,2,3,2,3,1,2,3,5,3,3,1,8,1,4,10,10,3,3,3,2
"122",122,5,2,3,1,4,1,5,1,10,3,3,1,1,2,2,1,1,3,3,3,3
"123",123,4,2,3,1,4,1,1,1,13,3,3,1,3,4,2,9,9,2,3,4,2
"124",124,4,2,3,1,4,1,5,1,20,3,3,5,3,2,2,10,10,3,4,3,3
"125",125,4,2,3,2,4,1,2,1,17,3,3,1,3,2,2,7,7,3,3,4,2
"126",126,5,2,3,1,4,1,5,1,10,3,3,2,1,2,2,14,14,3,3,2,2
"127",127,4,2,3,2,4,1,5,1,15,3,3,5,3,2,2,10,10,3,3,3,2
"128",128,5,2,3,2,1,1,5,1,18,2,3,1,2,2,2,15,14,3,3,4,1
"129",129,4,2,3,1,4,1,5,1,13,5,3,1,6,2,2,13,13,2,3,3,2
"130",130,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,10,10,2,3,3,2
"131",131,4,2,3,1,4,1,1,1,13,3,3,1,6,2,2,9,9,2,3,3,2
"132",132,4,2,3,2,4,1,1,1,9,3,3,1,6,2,2,13,13,2,4,3,3
"133",133,4,2,3,1,4,1,1,1,13,3,3,1,3,2,2,9,9,3,3,3,2
"134",134,4,2,3,2,4,1,5,1,24,3,3,1,3,2,2,13,13,2,4,3,3
"135",135,4,2,3,2,4,1,5,1,19,3,3,1,3,2,2,10,10,3,3,3,2
"136",136,4,2,3,1,4,1,5,1,17,3,3,1,3,4,2,10,10,2,3,3,3
"137",137,4,2,3,2,4,1,1,1,13,3,3,1,3,2,2,9,9,2,3,3,2
"138",138,4,2,3,1,4,1,5,1,12,3,3,3,3,2,2,13,13,2,3,3,2
"139",139,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
"140",140,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,13,13,3,3,3,3
"141",141,4,2,3,1,4,1,3,1,13,3,3,1,3,2,2,7,7,3,3,3,2
"142",142,4,2,3,1,4,1,5,1,6,3,3,1,3,2,2,13,13,3,4,3,3
"143",143,4,2,3,1,4,1,1,1,13,1,3,1,1,2,2,4,14,3,3,2,2
"144",144,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,2,4,3,3
"145",145,5,2,3,1,4,1,5,1,19,6,3,3,3,2,2,7,7,2,3,3,2
"146",146,5,2,3,1,4,1,5,1,8,3,3,4,6,2,2,13,13,4,4,3,3
"147",147,5,2,3,1,4,1,1,1,4,3,3,1,3,2,2,14,14,3,3,3,1
"148",148,4,2,3,2,4,1,2,1,9,3,3,1,6,2,2,13,13,2,4,3,3
"149",149,4,2,3,1,4,1,5,1,20,3,3,1,3,2,2,13,13,2,3,3,3
"150",150,5,2,3,1,4,1,5,1,4,3,3,1,1,2,2,9,9,3,3,3,1
"151",151,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,7,7,3,3,3,2
"152",152,4,2,3,1,4,1,5,1,16,3,3,1,3,4,2,13,13,4,4,3,3
"153",153,4,2,3,2,4,1,2,1,17,3,3,1,6,2,2,7,7,2,3,3,2
"154",154,4,2,3,1,4,1,5,1,5,3,3,1,3,1,2,4,10,3,3,3,2
"155",155,5,2,3,1,4,1,1,1,18,3,3,1,3,2,2,14,14,3,3,3,1
"156",156,4,2,3,1,4,1,1,1,8,1,3,1,1,2,2,14,14,3,3,3,1
"157",157,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,14,14,3,3,3,2
"158",158,4,2,3,1,4,1,1,1,24,3,3,1,6,2,2,13,13,2,4,3,3
"159",159,2,2,3,1,4,1,1,1,21,3,3,1,6,2,2,13,13,3,4,3,3
"160",160,4,2,3,2,2,1,1,1,9,3,3,1,6,2,2,13,13,2,4,3,3
"161",161,4,2,3,2,4,1,2,1,25,3,3,1,3,2,2,10,10,3,3,3,3
"162",162,4,2,3,2,4,1,5,1,16,3,3,1,6,2,2,13,13,2,4,3,3
"163",163,4,2,3,1,4,1,1,1,16,3,3,1,3,2,2,13,13,2,4,3,3
"164",164,4,2,3,1,4,1,5,1,18,3,3,1,2,2,2,9,9,3,3,3,2
"165",165,5,2,2,1,4,1,1,1,18,3,3,1,3,2,2,9,9,3,3,4,1
"166",166,4,2,3,1,4,1,5,1,8,3,3,2,1,2,2,14,14,3,3,4,1
"167",167,4,2,3,2,4,1,5,1,5,3,3,1,3,4,2,14,14,3,4,3,2
"168",168,4,2,3,1,4,1,5,1,16,3,3,1,6,2,2,13,13,4,4,3,3
"169",169,4,2,3,2,4,1,5,1,9,3,3,1,6,2,2,13,13,3,4,3,3
"170",170,4,2,3,2,4,1,1,1,24,3,3,1,3,4,7,10,10,2,4,3,2
"171",171,5,2,3,2,4,1,5,1,18,2,3,1,1,2,2,9,9,3,3,3,2
"172",172,4,2,3,2,4,1,1,1,13,3,3,1,3,4,2,4,10,4,3,3,2
"173",173,4,2,3,2,4,1,5,1,22,3,3,5,6,2,2,7,7,3,4,4,3
"174",174,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,15,15,1,3,3,2
"175",175,4,2,3,2,4,1,5,1,24,3,3,1,3,2,2,13,10,4,3,3,2
"176",176,4,2,3,1,4,1,1,1,8,3,3,1,3,2,2,15,15,3,3,3,2
"177",177,4,2,3,2,4,1,1,1,5,3,3,1,6,2,2,10,10,2,4,3,3
"178",178,4,2,3,1,4,1,5,1,19,3,3,1,1,2,2,9,9,3,4,4,2
"179",179,4,2,3,2,4,1,2,1,22,3,3,1,3,4,2,13,13,4,5,3,3
"180",180,5,2,3,1,4,1,5,1,18,3,3,1,3,2,2,14,14,3,4,3,2
"181",181,2,2,3,1,4,1,5,1,21,3,3,4,6,2,2,9,9,2,4,3,3
"182",182,4,2,3,1,4,1,5,1,7,3,3,1,6,2,2,12,12,3,3,3,1
"183",183,4,2,3,1,4,1,5,1,8,1,3,1,3,4,2,14,14,2,3,3,3
"184",184,5,2,3,1,4,1,5,1,18,3,3,1,1,2,2,13,13,3,3,3,3
"185",185,4,2,3,2,4,1,5,1,4,7,2,1,1,2,2,1,10,3,3,3,3
"186",186,5,2,3,3,4,1,5,1,18,1,3,1,4,2,8,14,14,3,4,4,1
"187",187,4,2,3,2,4,1,2,1,12,3,3,1,8,2,2,7,7,3,3,3,3
"188",188,4,2,3,1,4,1,5,1,18,3,3,1,1,2,2,7,7,3,3,3,2
"189",189,4,2,3,1,1,1,5,1,20,2,3,3,7,2,2,10,10,4,3,3,2
"190",190,4,2,3,1,4,1,5,1,22,3,3,5,3,2,2,6,6,3,4,3,3
"191",191,4,2,3,1,1,1,5,2,7,3,3,1,6,4,2,4,4,3,4,3,2
"192",192,4,2,3,2,4,1,2,1,13,3,3,1,6,2,2,7,7,2,3,3,2
"193",193,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,3,4,3,3
"194",194,5,2,3,1,4,1,5,1,8,3,3,4,6,2,2,13,13,4,4,3,3
"195",195,4,2,3,2,4,1,5,1,6,3,3,1,3,4,2,7,7,3,3,3,2
"196",196,4,2,3,1,4,1,3,1,15,3,3,4,6,2,2,10,3,3,3,3,2
"197",197,4,2,3,1,4,1,5,1,21,3,3,1,3,4,2,6,6,4,5,3,3
"198",198,4,2,3,1,4,1,1,1,13,1,3,1,6,2,2,12,12,3,4,4,3
"199",199,5,2,3,1,4,1,1,1,18,3,3,1,4,2,2,14,14,3,3,3,2
"200",200,4,2,3,1,4,1,5,1,16,3,3,1,3,4,2,13,13,2,4,3,3
"201",201,5,2,3,1,4,1,1,1,8,3,3,1,3,2,2,13,13,3,3,3,3
"202",202,4,2,3,1,4,1,5,1,12,3,3,1,3,2,2,10,10,3,3,3,2
"203",203,4,2,3,1,4,1,1,1,18,1,3,1,1,2,2,9,9,3,3,4,1
"204",204,5,2,3,1,4,1,5,1,6,3,3,5,3,2,2,13,13,2,4,3,3
"205",205,5,2,1,1,4,1,5,1,18,3,3,1,1,2,2,1,1,3,3,3,2
"206",206,4,2,3,1,4,1,1,1,9,3,3,1,3,2,2,7,7,3,3,3,3
"207",207,4,2,3,2,4,1,2,1,19,6,3,1,3,2,2,7,7,3,3,4,2
"208",208,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,14,14,3,3,3,3
"209",209,4,2,3,2,3,1,5,2,20,3,3,1,6,2,2,10,10,2,4,3,2
"210",210,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,7,7,4,3,3,2
"211",211,4,2,3,1,4,1,5,1,8,3,3,1,3,2,2,12,12,3,3,3,2
"212",212,4,2,3,1,4,1,1,1,8,3,3,1,3,2,2,13,13,3,3,3,3
"213",213,2,2,3,1,4,1,5,1,21,3,3,1,6,2,2,13,13,3,3,3,3
"214",214,4,2,3,3,4,1,2,1,6,3,3,1,3,2,2,13,13,3,3,3,3
"215",215,4,2,3,2,4,1,3,1,6,3,3,1,6,2,2,7,7,2,3,3,2
"216",216,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,7,7,2,3,3,2
"217",217,4,2,3,1,4,1,5,1,6,3,3,1,3,2,2,13,13,2,4,3,3
"218",218,5,2,1,1,4,1,5,1,18,3,3,1,6,2,2,9,9,3,3,3,2
"219",219,4,2,3,2,4,1,1,1,7,3,3,1,1,2,2,13,13,2,4,4,2
"220",220,4,2,3,1,4,1,5,1,1,3,3,5,3,2,2,13,13,2,4,3,3
"221",221,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,3,4,3,3
"222",222,4,2,3,2,4,1,5,1,9,3,3,1,6,2,2,13,13,3,4,3,3
"223",223,4,2,3,1,4,1,5,1,17,7,3,1,6,2,2,13,13,3,3,3,2
"224",224,4,2,3,1,4,1,3,1,13,3,3,1,3,2,2,7,7,3,3,3,2
"225",225,4,2,3,1,4,1,5,1,16,3,3,1,3,4,2,13,13,2,5,3,3
"226",226,5,2,3,1,4,1,5,1,3,3,3,4,6,2,2,7,7,2,3,3,2
"227",227,4,2,3,2,4,1,5,1,14,3,3,1,6,2,2,13,13,2,4,3,3
"228",228,5,2,3,1,4,1,5,1,3,3,3,4,6,2,2,7,7,2,3,3,2
"229",229,4,2,3,1,4,1,3,1,19,2,3,1,3,2,2,7,7,3,3,3,2
"230",230,4,2,3,1,4,1,5,1,1,3,3,5,3,2,2,13,13,2,4,3,3
"231",231,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,9,9,2,3,3,2
"232",232,4,2,3,2,4,1,5,1,14,3,3,1,6,2,2,13,13,2,4,3,3
"233",233,5,2,3,1,4,1,5,1,3,3,3,4,6,2,2,7,7,2,3,3,2
"234",234,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,7,7,3,3,3,2
"235",235,4,2,3,1,4,1,5,1,9,3,3,1,6,2,2,13,13,3,4,3,3
"236",236,5,2,3,1,4,1,5,1,3,3,3,5,6,2,2,7,7,2,3,3,2
"237",237,4,2,3,1,4,1,3,1,6,3,3,1,3,2,2,13,13,2,4,3,3
"238",238,4,2,3,2,4,1,2,1,20,8,3,1,6,2,2,7,7,3,4,3,3
"239",239,4,2,3,1,4,1,5,1,16,3,3,1,3,4,2,13,13,2,5,3,3
"240",240,4,2,3,1,4,1,5,1,8,3,3,1,1,2,2,13,13,3,3,3,2
"241",241,2,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,4,4,3,3
"242",242,5,2,3,1,4,1,5,1,18,3,3,1,3,2,2,13,13,3,3,4,2
"243",243,5,2,3,1,4,1,1,1,18,3,3,1,1,2,2,14,14,3,3,3,1
"244",244,4,2,3,1,4,1,1,1,20,3,3,5,6,2,2,10,10,3,3,3,2
"245",245,4,2,3,2,4,1,5,1,20,3,3,1,6,2,2,13,13,3,4,3,3
"246",246,4,2,3,1,4,1,5,1,17,3,3,1,3,2,2,14,14,2,3,3,2
"247",247,5,2,1,1,4,1,5,1,18,3,3,2,6,2,2,1,1,3,3,2,5
"248",248,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,14,4,3,3,3,2
"249",249,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
"250",250,4,2,3,3,3,1,2,3,5,3,3,1,1,2,2,14,7,1,4,3,2
"251",251,4,2,3,2,4,1,5,1,4,3,3,1,3,2,2,14,10,3,3,1,2
"252",252,5,2,3,2,2,1,5,2,7,3,3,5,3,4,2,13,13,4,4,3,3
"253",253,4,2,3,2,4,1,5,1,20,3,3,1,6,2,2,13,13,3,4,3,3
"254",254,4,2,3,1,4,1,5,1,13,3,3,1,8,4,2,7,7,2,3,3,2
"255",255,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,9,9,3,3,4,2
"256",256,4,2,3,2,4,1,5,1,9,3,3,1,6,2,2,13,13,2,4,3,3
"257",257,2,2,3,2,4,1,5,1,21,3,3,1,6,2,2,13,13,3,4,3,3
"258",258,4,2,3,1,4,1,5,1,6,3,3,1,3,2,2,13,13,4,4,3,3
"259",259,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
"260",260,5,2,3,1,4,1,5,1,18,3,3,1,3,2,2,4,4,3,3,3,3
"261",261,4,2,3,1,4,1,1,1,13,1,3,1,8,2,2,14,14,2,3,3,2
"262",262,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,6,6,4,4,3,3
"263",263,4,2,3,2,4,1,1,1,19,3,3,1,8,2,2,7,10,2,3,3,2
"264",264,5,2,3,1,4,1,1,1,18,3,3,1,1,2,2,14,14,3,3,3,1
"265",265,5,2,1,4,1,1,5,1,18,1,3,1,3,2,2,14,14,3,3,3,1
"266",266,4,2,3,2,4,1,5,1,17,3,3,1,3,2,2,9,9,2,3,4,2
"267",267,4,2,3,2,2,1,3,1,9,3,3,1,6,2,2,13,13,3,3,3,3
"268",268,4,2,3,1,1,1,5,2,23,3,3,1,4,2,2,14,14,3,3,3,3
"269",269,5,2,3,1,4,1,5,1,10,3,3,1,3,2,2,13,13,3,3,3,2
"270",270,4,2,3,2,4,1,1,1,8,3,3,1,3,4,2,7,7,2,3,4,2
"271",271,2,2,3,1,4,1,5,1,21,3,3,1,6,2,2,13,13,3,4,3,3
"272",272,4,2,3,2,3,1,2,3,5,3,3,1,3,1,3,10,10,3,3,3,2
"273",273,4,2,3,2,4,1,2,1,14,3,3,1,6,2,2,13,13,2,4,3,3
"274",274,4,2,3,1,4,1,5,1,13,2,3,1,3,4,2,14,14,1,3,3,2
"275",275,4,2,3,1,4,1,1,1,12,3,3,1,3,2,2,7,8,3,3,3,2
"276",276,4,2,3,1,4,1,5,1,4,3,3,1,1,2,2,14,14,3,4,4,1
"277",277,4,2,3,2,4,1,5,1,12,3,3,1,3,2,2,13,13,3,4,3,3
"278",278,4,2,3,1,4,1,1,1,9,3,3,1,3,2,2,13,13,3,3,3,2
"279",279,4,2,3,1,4,1,5,1,16,3,3,1,3,2,2,6,6,2,5,3,3
"280",280,4,2,3,1,4,1,5,1,5,3,3,1,6,4,2,10,10,2,3,3,2
"281",281,4,2,3,1,4,1,5,1,20,3,3,1,6,2,2,10,10,2,4,3,2
"282",282,2,2,2,1,4,1,5,1,21,3,3,1,3,2,2,13,13,4,4,3,3
"283",283,4,2,3,1,4,1,5,1,16,3,3,4,3,2,2,13,13,4,4,3,3
"284",284,4,2,3,1,4,1,5,1,21,2,3,1,3,2,2,13,13,4,4,3,3
"285",285,4,2,3,1,4,1,5,1,20,3,3,5,3,2,2,10,8,3,4,3,3
"286",286,2,2,2,2,4,1,5,1,21,3,3,5,6,2,2,9,9,3,4,3,3
"287",287,4,2,3,2,1,1,5,1,13,3,3,1,1,2,2,14,14,3,3,3,2
"288",288,4,2,3,2,4,1,1,1,13,3,3,1,3,2,2,7,7,3,3,3,2
"289",289,4,2,3,2,4,1,5,1,19,3,3,1,3,2,2,9,9,2,3,4,2
"290",290,4,2,3,1,4,1,5,1,4,7,3,1,6,2,2,14,14,3,3,3,1
"291",291,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,3,4,3,3
"292",292,4,2,1,1,1,1,5,1,23,3,3,2,6,2,2,13,13,3,3,2,3
