,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,MiscVal,MoSold,SalePrice,SalePrice_log,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
41,42,20,115.0,16905,5,6,0.0,TA,967,0,383,1350,1328,0,1328,2,1,5,2,1959.0,308,0,0,7,170000,12.043553716032399,2678,48,104,2.0,0,0,1,0,0,0,0,1,0,1
42,43,85,70.04995836802665,9180,5,7,0.0,TA,747,93,0,840,884,0,884,2,1,5,0,1983.0,504,240,0,12,144000,11.877568578558138,1724,24,0,2.0,0,0,0,1,0,1,0,1,0,1
43,44,20,70.04995836802665,9200,5,6,0.0,TA,280,491,167,938,938,0,938,3,1,5,0,1977.0,308,145,0,7,130250,11.777210959615614,1876,28,0,2.0,0,0,0,1,0,1,0,1,0,1
44,45,20,70.0,7945,5,6,0.0,TA,179,506,465,1150,1150,0,1150,3,1,6,0,1959.0,300,0,0,5,141000,11.856515169360305,2300,47,0,2.0,0,0,0,0,0,0,0,1,0,1
45,46,120,61.0,7658,9,5,412.0,Ex,456,0,1296,1752,1752,0,1752,2,1,6,1,2005.0,576,196,0,2,319900,12.675763725937609,3504,5,82,3.0,0,0,1,1,0,0,0,2,0,2
46,47,50,48.0,12822,7,5,0.0,Gd,1351,0,83,1434,1518,0,2149,1,1,6,1,2003.0,670,168,0,8,239686,12.387085012375499,3583,6,241,2.5,0,1,1,1,0,1,0,2,0,1
47,48,20,84.0,11096,8,5,0.0,Gd,24,0,1632,1656,1656,0,1656,3,1,7,0,2006.0,826,0,0,7,249700,12.428015476267865,3312,1,146,2.0,3,0,1,0,0,0,0,2,0,1
48,49,190,33.0,4456,4,5,0.0,TA,0,0,736,736,736,0,1452,2,3,8,0,,0,0,0,6,113000,11.635143097694478,2188,1,102,2.0,0,1,1,0,0,0,0,0,0,1
49,50,20,66.0,7742,5,7,0.0,TA,763,0,192,955,955,0,955,3,1,6,0,1966.0,386,0,0,1,127000,11.751942365440728,1910,41,0,2.0,0,0,0,0,0,0,0,1,0,1
50,51,60,70.04995836802665,13869,6,6,0.0,TA,182,0,612,794,794,0,1470,3,1,6,0,1997.0,388,0,0,7,177000,12.083905011555967,2264,10,75,2.5,0,1,1,0,0,1,0,2,0,1
51,52,50,52.0,6240,6,6,0.0,TA,0,0,816,816,816,360,1176,3,1,6,1,1985.0,528,112,400,9,114500,11.648330101976432,1992,56,0,1.0,0,0,0,1,0,0,0,2,0,1
52,53,90,110.0,8472,5,5,0.0,Fa,104,712,0,816,816,0,816,2,1,5,0,1963.0,516,106,0,5,110000,11.608235644774552,1632,47,0,2.0,0,0,0,1,0,1,1,1,0,0
53,54,20,68.0,50271,9,5,0.0,Gd,1810,0,32,1842,1842,0,1842,0,1,5,1,1981.0,894,857,0,11,385000,12.86099861326992,3684,19,72,2.5,3,0,1,1,0,1,0,1,0,1
54,55,80,60.0,7134,5,5,0.0,TA,384,0,0,384,1360,0,1360,3,1,6,1,1962.0,572,0,0,2,130000,11.77528972943772,1744,52,50,1.0,0,0,1,0,0,0,1,1,0,1
55,56,20,100.0,10175,6,5,272.0,TA,490,0,935,1425,1425,0,1425,3,1,7,1,1964.0,576,0,0,7,180500,12.103486056755072,2850,44,407,2.0,0,0,1,0,0,1,0,1,0,1
56,57,160,24.0,2645,8,5,456.0,Gd,649,0,321,970,983,0,1739,3,1,7,0,1999.0,480,115,0,8,172500,12.058152515453552,2709,9,0,3.5,0,1,0,1,0,0,0,2,0,1
57,58,60,89.0,11645,7,5,0.0,Gd,0,0,860,860,860,0,1720,3,1,7,0,2004.0,565,0,0,8,196500,12.188417710291453,2580,2,70,2.5,0,1,1,0,0,1,0,2,0,1
58,59,60,66.0,13682,10,5,1031.0,Ex,0,0,1410,1410,1426,0,2945,3,1,10,1,2006.0,641,192,0,10,438780,12.991753427493052,4355,0,37,3.5,3,1,1,1,0,1,0,2,0,2
59,60,20,60.0,7200,5,7,0.0,TA,632,0,148,780,780,0,780,2,1,4,0,1973.0,352,196,0,1,124900,11.73526869611367,1560,36,0,1.0,0,0,0,1,0,0,0,1,0,1
60,61,20,63.0,13072,6,5,0.0,TA,941,0,217,1158,1158,0,1158,3,1,5,0,2006.0,576,0,0,5,158000,11.970350312009105,2316,2,50,2.5,0,0,1,0,0,0,0,2,0,1
61,62,75,60.0,7200,5,7,0.0,TA,0,0,530,530,581,0,1111,3,1,6,0,1935.0,288,0,0,3,101000,11.522875795823397,1641,11,144,1.0,0,1,1,0,0,0,0,0,0,0
62,63,120,44.0,6442,8,5,178.0,Gd,24,0,1346,1370,1370,0,1370,2,1,6,1,2006.0,484,120,0,10,202500,12.218495165528731,2740,1,49,2.0,0,0,1,1,0,1,0,2,1,2
63,64,70,50.0,10300,7,6,0.0,TA,0,0,576,576,902,0,1710,3,1,9,0,1990.0,480,12,0,4,140000,11.84939770159144,2286,60,75,2.0,0,1,1,1,0,1,0,0,0,1
64,65,60,70.04995836802665,9375,7,5,573.0,TA,739,0,318,1057,1057,0,2034,3,1,8,0,1998.0,645,576,0,2,219500,12.299107511497363,3091,11,36,3.5,0,1,1,1,0,0,0,2,0,1
65,66,60,76.0,9591,8,5,344.0,Gd,0,0,1143,1143,1143,0,2473,4,1,9,1,2004.0,852,192,0,10,317000,12.666657052859417,3616,2,151,2.5,3,1,1,1,0,0,0,2,0,2
66,67,20,70.04995836802665,19900,7,5,287.0,TA,912,0,1035,1947,2207,0,2207,3,1,7,1,1970.0,576,301,0,7,180000,12.100712129872347,4154,21,0,3.0,0,0,0,1,0,0,0,1,0,1
67,68,20,72.0,10665,7,5,167.0,Gd,1013,0,440,1453,1479,0,1479,3,1,7,0,2003.0,558,144,0,6,226000,12.328290278254423,2932,4,29,3.0,0,0,1,1,0,1,0,2,0,1
68,69,30,47.0,4608,4,6,0.0,TA,0,0,747,747,747,0,747,2,1,4,0,1945.0,220,0,0,6,80000,11.289781913656018,1494,60,0,1.0,0,0,0,0,0,0,0,1,0,1
69,70,50,81.0,15593,7,4,0.0,Gd,603,0,701,1304,1304,0,2287,3,1,7,1,1953.0,667,0,0,7,225000,12.323855681186558,3591,53,135,2.0,0,1,1,0,0,0,0,1,0,1
70,71,20,95.0,13651,7,6,1115.0,TA,1880,0,343,2223,2223,0,2223,3,1,8,2,1973.0,516,300,0,2,244000,12.404923504275338,4446,34,0,3.0,0,0,0,1,0,1,0,1,0,1
71,72,20,69.0,7599,4,6,0.0,TA,565,0,280,845,845,0,845,2,1,4,0,1987.0,360,0,0,6,129500,11.771436160121729,1690,1,0,2.0,0,0,0,0,0,0,0,1,0,1
72,73,60,74.0,10141,7,5,40.0,TA,0,0,832,832,885,0,1718,3,1,7,1,1998.0,427,0,0,12,185000,12.128111104060462,2550,11,385,2.5,0,1,1,0,0,1,0,2,0,1
73,74,20,85.0,10200,5,7,104.0,TA,320,362,404,1086,1086,0,1086,3,1,6,0,1989.0,490,0,0,5,144900,11.883799128308773,2172,7,0,2.0,0,0,0,0,0,0,0,1,0,1
74,75,50,60.0,5790,3,6,0.0,Gd,0,0,840,840,840,0,1605,3,2,8,0,1915.0,379,0,0,5,107400,11.584315461056901,2445,60,202,2.0,0,1,1,0,0,0,0,1,0,1
75,76,180,21.0,1596,4,5,0.0,TA,462,0,0,462,526,0,988,2,1,5,0,1973.0,297,120,0,11,91000,11.418614785498987,1450,36,101,2.0,0,1,1,1,0,0,0,1,0,0
76,77,20,70.04995836802665,8475,4,7,0.0,TA,228,0,724,952,952,0,952,2,1,4,0,1956.0,283,0,0,4,135750,11.818570237796182,1904,52,0,1.0,0,0,0,0,0,1,0,1,0,1
77,78,50,50.0,8635,5,5,0.0,TA,336,41,295,672,1072,0,1285,2,1,6,0,1948.0,240,0,0,1,127000,11.751942365440728,1957,7,0,2.0,0,1,0,0,0,0,0,1,0,1
78,79,90,72.0,10778,4,5,0.0,TA,0,0,1768,1768,1768,0,1768,4,2,8,0,,0,0,0,4,136500,11.824079893607152,3536,42,0,2.0,0,0,0,0,0,0,0,1,0,1
79,80,50,60.0,10440,5,6,0.0,TA,0,0,440,440,682,0,1230,2,1,5,0,1966.0,440,74,0,5,110000,11.608235644774552,1670,28,128,1.5,0,1,1,1,0,0,0,2,0,1
80,81,60,100.0,13000,6,6,576.0,TA,448,0,448,896,1182,0,2142,4,1,8,1,1968.0,509,0,0,6,193500,12.173032791451973,3038,41,324,2.5,0,1,1,0,0,0,0,1,0,1
81,82,120,32.0,4500,6,5,443.0,TA,1201,0,36,1237,1337,0,1337,2,1,5,0,1998.0,405,0,0,3,153500,11.941455846009388,2574,8,199,3.0,0,0,1,0,0,0,0,2,0,1
82,83,20,78.0,10206,8,5,468.0,TA,33,0,1530,1563,1563,0,1563,3,1,6,1,2007.0,758,144,0,10,245000,12.409013489526863,3126,1,99,2.0,3,0,1,1,0,0,0,2,1,1
83,84,20,80.0,8892,5,5,66.0,TA,0,0,1065,1065,1065,0,1065,3,1,6,0,1974.0,461,74,0,7,126500,11.747997587149712,2130,47,0,1.5,0,0,0,1,0,1,0,1,0,1
84,85,80,70.04995836802665,8530,7,5,22.0,TA,0,0,384,384,804,0,1474,3,1,7,1,1995.0,400,120,700,5,168500,12.034691028774553,1858,13,72,2.5,0,1,1,1,0,1,0,2,0,1
85,86,60,121.0,16059,8,5,284.0,Gd,0,0,1288,1288,1301,0,2417,4,1,9,1,1991.0,462,127,0,4,260000,12.468436909997665,3705,14,82,2.5,0,1,1,1,0,0,0,1,0,2
86,87,60,122.0,11911,6,5,0.0,Gd,0,0,684,684,684,0,1560,3,1,6,1,2005.0,400,100,0,3,174000,12.066810578196666,2244,4,38,2.5,0,1,1,1,0,1,0,2,0,1
87,88,160,40.0,3951,6,5,76.0,Gd,0,0,612,612,612,0,1224,2,1,4,0,2009.0,528,0,0,6,164500,12.010665849187564,1836,0,234,2.5,0,1,1,0,0,0,0,2,1,1
88,89,50,105.0,8470,3,2,0.0,Fa,0,0,1013,1013,1013,513,1526,2,1,6,0,,0,0,0,10,85000,11.350406535472453,2539,27,156,1.0,0,0,1,0,0,1,0,1,0,0
89,90,20,60.0,8070,4,5,0.0,TA,588,0,402,990,990,0,990,3,1,5,0,,0,0,0,8,123600,11.724805824005728,1980,12,0,2.0,0,0,0,0,0,0,0,2,0,1
90,91,20,60.0,7200,4,5,0.0,TA,0,0,0,0,1040,0,1040,2,1,4,0,1950.0,420,0,0,7,109900,11.607326140391713,1040,56,29,1.0,0,0,1,0,0,0,0,0,0,1
91,92,20,85.0,8500,5,3,203.0,TA,600,0,635,1235,1235,0,1235,2,1,6,0,1961.0,480,0,0,12,98600,11.498826540590727,2470,45,0,1.0,0,0,0,0,0,0,0,1,0,1
92,93,30,80.0,13360,5,7,0.0,TA,713,0,163,876,964,0,964,2,1,5,0,1921.0,432,0,0,8,163500,12.004568269319446,1840,3,44,2.0,0,0,1,0,0,1,0,0,0,1
93,94,190,60.0,7200,6,6,0.0,TA,1046,0,168,1214,1260,0,2291,4,2,9,1,1900.0,506,0,0,11,133900,11.804848531679264,3505,9,99,2.5,0,1,1,0,0,0,0,0,0,1
94,95,60,69.0,9337,6,5,0.0,TA,648,0,176,824,905,0,1786,3,1,7,0,1997.0,684,0,0,5,204750,12.229545001715316,2610,10,162,3.5,0,1,1,0,0,1,0,2,0,1
95,96,60,70.04995836802665,9765,6,8,68.0,Ex,310,0,370,680,680,0,1470,3,1,6,1,1993.0,420,232,480,4,185000,12.128111104060462,2150,16,63,2.5,0,1,1,1,0,1,0,2,0,1
96,97,20,78.0,10264,7,5,183.0,Gd,1162,0,426,1588,1588,0,1588,3,1,6,0,1999.0,472,158,0,8,214000,12.273731294003989,3176,7,29,2.0,0,0,1,1,0,1,0,2,0,1
97,98,20,73.0,10921,4,5,48.0,TA,520,0,440,960,960,0,960,3,1,6,0,1965.0,432,120,0,5,94750,11.458997122944673,1920,42,0,2.0,0,0,0,1,0,0,0,1,0,1
98,99,30,85.0,10625,5,5,0.0,TA,108,0,350,458,835,0,835,2,1,5,0,1920.0,366,0,400,5,83000,11.326595886778735,1293,60,77,1.0,0,0,1,0,0,0,0,0,0,1
99,100,20,77.0,9320,4,5,0.0,TA,569,0,381,950,1225,0,1225,3,1,6,0,,0,352,400,1,128950,11.76718001130949,2175,51,0,2.5,0,0,0,1,0,1,0,1,0,1
100,101,20,70.04995836802665,10603,6,7,28.0,TA,1200,0,410,1610,1610,0,1610,3,1,6,2,1977.0,480,168,0,2,205000,12.230765258120545,3220,9,68,3.0,0,0,1,1,0,1,0,2,0,1
101,102,60,77.0,9206,6,5,336.0,Gd,0,0,741,741,977,0,1732,3,1,7,1,1985.0,476,192,0,6,178000,12.089538829274222,2473,25,46,2.5,0,1,1,1,0,0,0,1,0,1
102,103,90,64.0,7018,5,5,0.0,TA,0,0,0,0,1535,0,1535,4,2,8,0,1979.0,410,0,0,6,118964,11.686576205316552,1535,30,0,2.0,0,0,0,0,0,0,0,0,0,1
103,104,20,94.0,10402,7,5,0.0,TA,0,0,1226,1226,1226,0,1226,3,1,6,0,2009.0,740,0,0,5,198900,12.200557464842063,2452,1,36,2.0,3,0,1,0,0,1,0,2,0,1
104,105,50,70.04995836802665,7758,7,4,600.0,TA,224,0,816,1040,1226,0,1818,4,1,7,2,1951.0,240,0,0,6,169500,12.040608205802641,2858,57,184,1.5,0,1,1,0,0,0,0,2,0,0
105,106,60,75.0,9375,8,5,768.0,Gd,0,0,1053,1053,1053,0,1992,3,1,9,1,2003.0,648,140,0,8,250000,12.429216196844383,3045,4,45,2.5,0,1,1,1,0,0,0,2,0,1
106,107,30,60.0,10800,4,7,0.0,TA,0,0,641,641,1047,0,1047,2,1,6,0,1954.0,273,0,450,8,100000,11.512925464970229,1688,12,0,1.0,0,0,0,0,0,0,0,0,0,1
107,108,20,50.0,6000,5,5,0.0,TA,104,169,516,789,789,0,789,2,1,5,0,1948.0,250,0,0,4,115000,11.652687407345388,1578,58,0,1.0,0,0,0,0,0,0,0,1,0,1
108,109,50,85.0,8500,5,7,0.0,TA,0,0,793,793,997,0,1517,3,1,7,0,,0,0,0,8,115000,11.652687407345388,2310,2,144,2.0,0,1,1,0,0,0,0,1,0,0
109,110,20,105.0,11751,6,6,480.0,TA,705,0,1139,1844,1844,0,1844,3,1,7,1,1977.0,546,0,0,1,190000,12.154779351142624,3688,33,122,2.0,0,0,1,0,0,1,0,1,0,1
110,111,50,75.0,9525,6,4,0.0,TA,444,0,550,994,1216,0,1855,4,1,7,0,1954.0,325,182,0,10,136900,11.82700601127654,2849,34,0,2.0,0,1,0,1,0,0,0,1,0,1
111,112,80,70.04995836802665,7750,7,5,0.0,TA,250,0,134,384,774,0,1430,3,1,7,1,2000.0,400,180,0,4,180000,12.100712129872347,1814,10,0,2.5,0,1,0,1,0,1,0,2,0,1
112,113,60,77.0,9965,7,5,220.0,Gd,984,0,280,1264,1282,0,2696,4,1,10,1,2007.0,792,120,0,10,383970,12.858319703517948,3960,0,352,3.5,3,1,1,1,0,0,0,2,1,1
113,114,20,70.04995836802665,21000,6,5,184.0,TA,35,869,905,1809,2259,0,2259,3,1,7,2,1953.0,450,166,0,10,217000,12.287652632522597,4068,54,312,3.0,0,0,1,1,0,0,0,1,0,1
114,115,70,61.0,7259,6,8,0.0,TA,774,150,104,1028,1436,0,2320,3,1,9,1,1945.0,180,224,0,7,259500,12.46651198158808,3348,5,0,3.5,0,1,0,1,0,1,1,1,0,1
115,116,160,34.0,3230,6,5,1129.0,TA,419,0,310,729,729,0,1458,2,1,5,1,1999.0,440,0,0,6,176000,12.078239274020289,2187,8,32,2.5,0,1,1,0,0,0,0,2,0,1
116,117,20,70.04995836802665,11616,5,5,116.0,TA,170,670,252,1092,1092,0,1092,3,1,6,1,1962.0,288,0,0,9,139000,11.842229212112828,2184,47,164,1.5,0,0,1,0,0,0,0,1,0,1
117,118,20,74.0,8536,5,5,0.0,TA,0,0,1125,1125,1125,0,1125,2,1,5,0,2007.0,430,80,0,4,155000,11.951180395901384,2250,0,64,1.5,0,0,1,1,0,0,0,2,0,1
118,119,60,90.0,12376,7,5,0.0,TA,1470,0,203,1673,1699,0,3222,5,1,11,2,1990.0,594,367,0,5,320000,12.676076274775909,4895,20,0,4.0,3,1,0,1,0,0,0,2,0,1
119,120,60,65.0,8461,6,5,0.0,Gd,0,0,728,728,728,0,1456,3,1,8,1,2005.0,390,0,0,7,163990,12.007560729337492,2184,0,24,2.5,0,1,1,0,0,0,0,2,0,1
120,121,80,70.04995836802665,21453,6,5,0.0,TA,938,0,0,938,988,0,988,1,1,4,2,1969.0,540,0,0,10,180000,12.100712129872347,1926,37,260,2.0,0,0,1,0,0,1,1,1,0,1
121,122,50,50.0,6060,4,5,0.0,TA,0,0,732,732,772,0,1123,3,1,4,0,1979.0,264,0,0,6,100000,11.512925464970229,1855,57,140,1.0,0,1,1,0,0,0,0,2,0,0
122,123,20,75.0,9464,6,7,135.0,TA,570,0,510,1080,1080,0,1080,3,1,5,0,1958.0,288,0,0,6,136000,11.820410164718188,2160,50,130,1.0,0,0,1,0,0,0,0,1,0,1
123,124,120,55.0,7892,6,5,0.0,Gd,300,0,899,1199,1199,0,1199,2,1,5,0,1993.0,530,0,0,3,153900,11.94405831982697,2398,15,63,2.0,0,0,1,0,0,0,0,2,0,1
124,125,20,48.0,17043,6,5,0.0,TA,0,0,1362,1362,1586,0,1586,3,1,7,1,1979.0,435,192,0,1,181000,12.106252310247962,2948,11,0,2.0,0,0,0,1,0,1,0,1,0,1
125,126,190,60.0,6780,6,8,0.0,TA,490,0,30,520,520,234,754,2,1,5,0,,0,53,0,6,84500,11.344506813345266,1274,24,0,2.0,0,0,0,1,0,0,0,1,0,0
126,127,120,70.04995836802665,4928,6,5,0.0,TA,120,0,958,1078,958,0,958,2,1,5,1,1977.0,440,0,0,2,128000,11.759785542901755,2036,31,205,2.0,0,0,1,0,0,1,0,1,0,1
127,128,45,55.0,4388,5,7,0.0,TA,116,0,556,672,840,0,840,3,1,5,1,,0,0,0,6,87000,11.37366339763672,1512,57,0,1.0,0,0,0,0,0,1,0,0,0,1
