,Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,Fence,SalePrice_log_y,SalePrice_y,HasGasHeating,Electrical_combined,GarageType_combined,GarageQual_combined,SaleType_combined,HasPavedDrive,SaleCond_combined,HasCentralAir,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation
10,10,70.0,11200,5,5,1965,1965,0.0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,4,4,2,4,2,5,3,8,1,2,4,1,11.77143616,129500,1,1,2,3,1,1,1,1,4,2,3,1,4,1,5,1,19,3,3,1,3,4,2,7,7,3,3,3,2
11,11,85.0,11924,9,5,2005,2006,286.0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,6,4,2,7,2,5,5,8,5,4,4,1,12.751299699999999,345000,1,1,3,3,2,1,0,1,4,2,3,2,4,1,5,1,16,3,3,1,6,4,2,15,15,4,5,3,3
12,12,70.04995836802665,12968,5,6,1962,1962,0.0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,4,4,2,6,2,3,3,8,1,2,4,1,11.87756858,144000,1,1,2,3,1,1,1,1,4,2,3,3,4,1,5,1,19,3,3,1,3,4,2,7,10,3,3,3,2
13,13,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,5,4,4,2,2,5,4,8,5,3,4,1,12.54075757,279500,1,1,1,3,2,1,0,1,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,4,4,3,3
14,14,70.04995836802665,10920,6,5,1960,1960,212.0,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,4,4,2,5,2,3,3,8,3,3,4,3,11.96400108,157000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,1,1,13,3,3,1,3,4,2,9,9,2,3,3,2
15,15,51.0,6120,7,8,1929,2001,0.0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,4,4,2,2,2,5,3,8,1,2,4,5,11.790557199999999,132000,1,2,2,3,1,1,1,1,5,2,3,1,4,1,1,1,4,3,3,1,2,2,2,14,14,3,3,3,1
16,16,70.04995836802665,11241,6,7,1970,1970,180.0,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970.0,2,480,0,0,0,0,0,0,700,3,2010,4,4,2,6,2,5,3,8,4,4,4,1,11.91170158,149000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,2,1,13,3,3,1,3,2,2,14,14,2,3,3,2
17,17,72.0,10791,4,5,1967,1967,0.0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,1,1,1,1,1,3,3,8,1,2,4,1,11.40756495,90000,1,1,0,3,1,1,1,1,4,2,3,1,4,1,5,1,19,3,3,3,3,2,2,9,9,3,3,3,4
18,18,66.0,13695,5,5,2004,2004,0.0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,4,4,2,7,2,5,4,8,1,2,4,1,11.97665948,159000,1,1,2,3,1,1,1,1,4,2,3,1,4,1,5,1,20,6,3,1,3,2,2,13,13,3,3,3,3
19,19,70.0,7560,5,6,1958,1965,0.0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,4,4,2,3,2,3,3,7,1,2,4,4,11.84222921,139000,1,1,1,3,0,1,0,1,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,4,10,3,3,3,2
20,20,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,6,4,4,2,2,5,4,8,5,3,4,1,12.69250311,325300,1,1,3,3,2,1,0,1,4,2,3,2,4,1,1,1,16,3,3,1,6,2,2,13,13,2,4,3,3
21,21,57.0,7449,7,7,1930,1950,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,4,4,2,2,2,5,4,8,5,2,4,5,11.84510278,139400,1,0,1,3,1,0,1,1,5,2,1,1,1,1,5,1,10,3,3,1,2,2,2,14,14,3,3,3,3
22,22,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,5,4,2,2,2,5,4,8,5,3,4,1,12.34583459,230000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,6,3,3,1,3,4,2,13,13,2,4,3,3
23,23,44.0,4224,5,7,1976,1976,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0,6,2007,5,4,2,7,2,3,3,8,4,2,4,1,11.7745202,129900,1,1,1,3,1,1,1,1,5,2,3,1,4,1,5,1,11,3,3,5,3,2,2,6,6,3,3,3,3
24,24,70.04995836802665,8246,5,8,1968,2001,0.0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968.0,1,270,406,90,0,0,0,0,0,5,2010,4,4,3,4,6,5,4,8,4,2,4,4,11.94470788,154000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,19,3,3,1,3,2,2,10,10,3,3,4,2
25,25,110.0,14230,8,5,2007,2007,640.0,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007.0,3,890,0,56,0,0,0,0,0,7,2009,5,4,2,2,2,5,4,8,5,3,4,1,12.45410391,256300,1,1,1,3,1,1,1,1,4,2,3,1,4,1,1,1,16,3,3,1,3,2,2,13,13,4,4,3,3
26,26,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,4,4,3,5,4,3,4,8,1,2,4,1,11.81154748,134800,1,1,2,3,1,1,1,1,4,2,3,1,4,1,1,1,13,3,3,1,3,2,2,14,14,3,3,3,2
27,27,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,6,4,2,7,2,5,4,8,5,3,4,1,12.63134038,306000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,16,3,3,1,3,2,2,13,13,4,4,3,3
28,28,47.0,16321,5,6,1957,1997,0.0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957.0,1,319,288,258,0,0,0,0,0,12,2006,4,4,5,5,2,3,3,8,5,3,4,1,12.24288662,207500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,2,1,13,3,3,1,3,2,2,9,9,3,3,3,2
29,29,60.0,6324,4,6,1927,1950,0.0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,0,0,0,0,5,2008,4,4,2,2,2,2,2,8,1,2,4,1,11.13458902,68500,1,1,2,2,1,1,1,0,5,2,3,2,4,1,5,1,4,2,8,1,3,2,2,9,9,3,3,3,1
30,30,50.0,8500,4,4,1920,1950,0.0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920.0,1,250,0,54,172,0,0,0,0,7,2008,4,4,2,2,2,3,3,8,1,2,3,4,10.59663473,40000,1,1,2,3,1,0,1,0,1,2,2,1,4,1,5,1,10,2,3,1,6,3,2,4,4,3,3,2,1
31,31,70.04995836802665,8544,5,6,1966,2006,0.0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966.0,1,271,0,65,0,0,0,0,0,6,2008,4,4,2,2,2,4,4,8,1,2,4,4,11.91404782,149350,1,1,1,3,1,1,1,1,4,2,3,2,4,1,2,1,19,3,3,1,3,2,2,7,7,3,3,3,2
32,32,85.0,11049,8,5,2007,2007,0.0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,0,0,0,0,1,2008,6,4,4,2,2,5,4,8,1,3,4,1,12.10015642,179900,1,1,1,3,1,1,1,1,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,13,13,3,4,3,3
33,33,70.0,10552,5,5,1959,1959,0.0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959.0,2,447,0,38,0,0,0,0,0,4,2010,4,4,2,4,2,4,4,8,5,3,4,1,12.01672647,165500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,13,3,3,1,3,4,2,4,4,3,3,3,2
34,34,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,6,4,2,7,2,5,5,8,5,4,4,1,12.53357621,277500,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,16,3,3,5,3,4,2,9,9,2,5,3,3
35,35,108.0,13418,8,5,2004,2005,132.0,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004.0,3,691,113,32,0,0,0,0,0,9,2006,6,4,4,2,2,5,4,8,5,4,4,1,12.64109656,309000,1,1,3,3,1,1,1,1,4,2,3,1,4,1,5,1,16,3,3,1,6,2,2,13,13,4,4,3,3
36,36,112.0,10859,5,5,1994,1995,0.0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,1995.0,2,672,392,64,0,0,0,0,0,6,2009,5,4,2,2,2,5,3,8,1,2,4,1,11.88448902,145000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,1,1,6,3,3,1,3,2,2,13,13,3,3,3,3
37,37,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,4,4,2,4,2,4,3,8,4,4,4,1,11.938193199999999,153000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,14,14,2,3,3,2
38,38,68.0,7922,5,7,1953,2007,0.0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953.0,1,246,0,52,0,0,0,0,0,1,2010,4,4,2,7,2,3,4,8,1,2,4,1,11.59910316,109000,1,1,2,3,1,1,0,1,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,13,13,3,3,4,2
39,39,65.0,6040,4,5,1955,1955,0.0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,1955.0,0,0,0,0,0,0,0,0,0,6,2008,1,1,1,1,1,3,2,8,1,1,1,1,11.31447453,82000,1,0,0,1,1,0,0,0,4,2,3,1,4,1,5,1,8,3,3,3,3,2,2,1,10,3,3,3,3
40,40,84.0,8658,6,5,1965,1965,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,4,4,2,4,2,5,3,8,4,3,4,3,11.98292909,160000,1,1,1,3,1,1,0,1,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,14,14,2,3,3,2
41,41,115.0,16905,5,6,1959,1959,0.0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1959.0,1,308,0,104,0,0,0,0,0,7,2007,4,4,5,5,2,4,3,8,5,3,4,1,12.04355372,170000,1,1,1,3,1,0,1,1,4,2,3,1,4,1,5,1,24,3,3,1,3,2,2,13,13,3,3,4,2
42,42,70.04995836802665,9180,5,7,1983,1983,0.0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,1983.0,2,504,240,0,0,0,0,0,0,12,2007,5,4,4,6,3,4,4,8,1,3,5,4,11.87756858,144000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,2,1,20,3,3,1,7,2,2,7,7,3,3,3,2
43,43,70.04995836802665,9200,5,6,1975,1980,0.0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1977.0,1,308,145,0,0,0,0,0,0,7,2008,5,4,4,3,5,3,3,8,1,2,4,4,11.77721096,130250,1,1,2,3,1,1,1,1,4,2,3,2,4,1,2,1,6,3,3,1,3,4,2,13,13,3,3,3,2
44,44,70.0,7945,5,6,1959,1959,0.0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1959.0,1,300,0,0,0,0,0,0,0,5,2006,4,4,2,6,5,5,3,8,1,3,4,1,11.85651517,141000,1,2,1,3,1,1,1,1,4,2,3,1,4,1,5,1,13,3,3,1,3,2,2,4,14,3,3,3,2
45,45,61.0,7658,9,5,2005,2005,412.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005.0,2,576,196,82,0,0,0,0,0,2,2010,6,4,2,7,2,5,5,8,5,3,4,1,12.67576373,319900,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,16,3,3,5,3,4,2,9,9,2,5,3,3
46,46,48.0,12822,7,5,2003,2003,0.0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2003.0,2,670,168,43,0,0,198,0,0,8,2009,6,4,2,7,2,5,4,8,6,3,4,1,12.38708501,239686,1,1,1,3,1,1,0,1,4,2,3,2,4,1,2,1,12,3,3,1,1,2,2,13,13,3,4,3,3
47,47,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,0,7,2007,5,4,4,7,2,5,4,8,1,3,4,1,12.42801548,249700,1,1,1,3,1,1,1,1,2,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,3,4,3,3
48,48,33.0,4456,4,5,1920,2008,0.0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,1920.0,0,0,0,0,102,0,0,0,0,6,2009,4,4,2,2,2,4,3,8,1,1,1,1,11.6351431,113000,1,1,0,1,2,0,0,1,5,2,3,1,4,1,5,1,18,3,3,2,6,2,2,9,9,3,3,3,1
49,49,66.0,7742,5,7,1966,1966,0.0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1966.0,1,386,0,0,0,0,0,0,0,1,2007,4,4,2,5,2,5,3,8,1,2,4,4,11.75194237,127000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,19,3,3,1,3,2,2,7,7,3,3,3,2
50,50,70.04995836802665,13869,6,6,1997,1997,0.0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997.0,2,388,0,75,0,0,0,0,0,7,2007,5,4,4,7,2,4,3,8,1,4,4,1,12.08390501,177000,1,1,1,3,1,1,1,1,4,2,3,3,4,1,1,1,9,3,3,1,6,2,2,13,13,3,3,3,3
51,51,52.0,6240,6,6,1934,1950,0.0,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,0,0,0,400,9,2006,4,4,2,2,2,3,3,8,5,2,4,4,11.648330099999999,114500,1,1,2,3,1,1,1,1,5,2,3,1,4,1,5,1,4,3,3,1,1,2,2,14,14,3,3,3,3
52,52,110.0,8472,5,5,1963,1963,0.0,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,1963.0,2,516,106,0,0,0,0,0,0,5,2010,5,4,5,3,7,3,3,8,1,2,4,1,11.60823564,110000,1,1,0,3,1,1,1,0,5,1,3,3,1,1,1,2,10,9,3,3,3,2,2,14,14,3,2,3,2
53,53,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,6,4,5,7,2,4,4,8,5,4,4,1,12.86099861,385000,1,1,1,3,1,1,1,1,4,2,3,2,3,1,5,1,25,3,3,1,3,2,8,15,15,3,4,3,2
54,54,60.0,7134,5,5,1955,1955,0.0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,1962.0,2,572,0,50,0,0,0,0,0,2,2007,4,4,2,6,2,3,3,7,4,2,4,4,11.77528973,130000,1,1,2,3,1,1,1,1,4,2,3,1,1,1,5,2,13,3,3,1,8,2,2,9,9,3,3,3,2
55,55,100.0,10175,6,5,1964,1964,272.0,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,1964.0,2,576,0,0,0,407,0,0,0,7,2008,4,4,2,5,2,4,3,8,5,3,4,1,12.10348606,180500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,7,10,2,3,3,2
56,56,24.0,2645,8,5,1999,2000,456.0,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,1999.0,2,480,115,0,0,0,0,0,0,8,2009,5,4,2,7,2,5,4,8,1,4,4,1,12.05815252,172500,1,1,1,3,1,1,0,1,2,2,2,1,4,1,5,1,21,3,3,4,6,2,2,9,9,2,4,3,3
57,57,89.0,11645,7,5,2004,2004,0.0,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2004.0,2,565,0,70,0,0,0,0,0,8,2006,5,4,2,2,2,5,4,8,1,3,4,1,12.18841771,196500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,1,1,6,3,3,1,6,2,2,13,13,3,4,3,3
58,58,66.0,13682,10,5,2006,2006,1031.0,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,2006.0,3,641,192,0,37,0,0,0,0,10,2006,6,4,5,2,2,5,4,8,5,4,4,1,12.99175343,438780,1,1,3,3,2,1,0,1,4,2,3,3,2,1,2,1,22,3,3,1,6,4,2,13,13,2,5,3,3
59,59,60.0,7200,5,7,1972,1972,0.0,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,0,0,0,0,1,2008,4,4,4,6,2,5,3,8,1,2,4,4,11.735268699999999,124900,1,1,2,3,1,1,1,1,4,2,3,1,1,1,5,1,6,3,3,1,3,2,2,7,7,3,3,3,2
60,60,63.0,13072,6,5,2004,2004,0.0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2006.0,2,576,0,50,0,0,0,0,0,5,2006,5,4,2,6,2,5,4,8,1,2,4,1,11.97035031,158000,1,1,2,3,2,1,0,1,4,2,3,1,4,1,5,1,20,6,3,1,3,2,2,13,13,3,3,3,3
61,61,60.0,7200,5,7,1920,1996,0.0,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1935.0,1,288,0,0,144,0,0,0,0,3,2007,4,3,2,2,2,3,2,8,1,2,4,1,11.5228758,101000,1,1,2,3,1,0,1,0,5,2,3,1,4,1,5,1,10,3,3,1,5,2,2,9,9,3,3,3,1
62,62,44.0,6442,8,5,2006,2006,178.0,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2006.0,2,484,120,49,0,0,0,0,0,10,2007,5,5,3,7,2,5,4,8,5,3,4,1,12.21849517,202500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,16,3,3,5,3,2,2,13,13,4,4,3,3
63,63,50.0,10300,7,6,1921,1950,0.0,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,1990.0,2,480,12,11,64,0,0,0,0,4,2010,4,4,2,2,2,4,3,8,1,2,4,5,11.849397699999999,140000,1,1,2,3,1,1,1,1,5,2,3,2,1,1,5,1,18,7,2,1,6,2,2,12,12,3,3,3,1
64,64,70.04995836802665,9375,7,5,1997,1998,573.0,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,5,4,2,7,2,5,4,8,1,3,4,5,12.29910751,219500,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,3,3,3
65,65,76.0,9591,8,5,2004,2005,344.0,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,2004.0,3,852,192,151,0,0,0,0,0,10,2007,6,4,4,2,2,5,4,8,5,3,4,1,12.66665705,317000,1,1,3,3,1,1,1,1,4,2,3,1,4,1,5,1,16,3,3,1,6,2,2,13,13,2,4,3,3
66,66,70.04995836802665,19900,7,5,1970,1989,287.0,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,1970.0,2,576,301,0,0,0,0,0,0,7,2010,5,4,5,7,2,3,3,7,5,3,4,1,12.10071213,180000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,13,4,3,1,3,2,2,10,10,2,3,3,2
67,67,72.0,10665,7,5,2003,2003,167.0,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2003.0,2,558,144,29,0,0,0,0,0,6,2007,5,4,4,7,2,5,4,8,1,3,4,1,12.32829028,226000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,2,4,3,3
68,68,47.0,4608,4,6,1945,1950,0.0,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1945.0,1,220,0,0,0,0,0,0,0,6,2010,4,4,2,2,2,3,3,8,1,2,4,1,11.28978191,80000,1,1,1,3,1,1,1,1,5,2,3,1,4,1,1,1,18,1,3,1,3,2,2,9,9,3,3,4,2
69,69,81.0,15593,7,4,1953,1953,0.0,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,1953.0,2,667,0,21,114,0,0,0,0,7,2006,4,4,2,5,2,3,3,8,4,4,4,1,12.32385568,225000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,1,1,5,3,3,1,1,2,2,4,1,3,4,3,2
70,70,95.0,13651,7,6,1973,1973,1115.0,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,1973.0,2,516,300,0,0,0,0,0,0,2,2007,5,4,5,6,2,5,3,8,5,4,4,1,12.4049235,244000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,13,3,3,1,3,2,2,10,10,2,3,4,2
