,Id,SalePrice_old,SalePrice_log_old,MSSubClass,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,KitchenAbvGr,TotRmsAbvGrd,GarageArea,WoodDeckSF,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasExBsmtQual,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
27,28,306000,12.63134038,20,98,11478,8,200,Gd,1218,486,1704,1704,1704,1,7,772,0,3408,4018,50,3,3,0,1,0,0,1,1,0,1,2,1,2
28,29,207500,12.24288662,20,47,16321,5,0,TA,1277,207,1484,1600,1600,1,6,319,288,3084,4003,258,2,0,0,1,1,0,1,0,1,1,1,0,1
29,30,68500,11.13458902,30,60,6324,4,0,TA,0,520,520,520,520,1,4,240,49,1040,3958,87,1,0,0,1,1,0,1,0,1,1,0,0,1
30,31,40000,10.59663473,70,50,8500,4,0,TA,0,649,649,649,1317,1,6,250,0,1966,3958,226,1,0,1,1,0,0,1,0,0,1,0,0,0
31,32,149350,11.91404782,20,70.04995837,8544,5,0,TA,0,1228,1228,1228,1228,1,6,271,0,2456,4014,65,1.5,0,0,1,0,0,1,0,1,1,1,0,1
32,33,179900,12.10015642,20,85,11049,8,0,Gd,0,1234,1234,1234,1234,1,7,484,0,2468,4015,30,2,0,0,1,0,0,1,1,0,1,2,0,1
33,34,165500,12.01672647,20,70,10552,5,0,TA,1018,380,1398,1700,1700,1,6,447,0,3098,3969,38,2,0,0,1,0,0,1,0,1,1,1,0,1
34,35,277500,12.53357621,120,60,7313,9,246,Ex,1153,408,1561,1561,1561,1,6,556,203,3122,4012,47,3,0,0,1,1,0,1,1,0,1,2,0,2
35,36,309000,12.64109656,60,108,13418,8,132,Gd,0,1117,1117,1132,2452,1,9,691,113,3569,4011,32,3.5,3,1,1,1,0,1,1,0,1,2,1,2
36,37,145000,11.88448902,20,112,10859,5,0,TA,0,1097,1097,1097,1097,1,6,672,392,2194,4004,64,1.5,0,0,1,1,0,1,0,0,1,2,0,1
37,38,153000,11.9381932,20,74,8532,5,650,TA,1213,84,1297,1297,1297,1,5,498,0,2594,3999,0,1.5,0,0,0,0,0,1,0,0,1,1,0,1
38,39,109000,11.59910316,20,68,7922,5,0,TA,731,326,1057,1057,1057,1,5,246,0,2114,4017,52,2,0,0,1,0,0,1,0,0,1,1,0,1
39,40,82000,11.31447453,90,65,6040,4,0,TA,0,0,0,1152,1152,2,6,0,0,1152,3963,0,2,0,0,0,0,0,1,0,0,1,2,0,1
40,41,160000,11.98292909,20,84,8658,6,101,TA,643,445,1088,1324,1324,1,6,440,0,2412,3971,138,2,0,0,1,0,0,1,0,0,1,1,0,1
41,42,170000,12.04355372,20,115,16905,5,0,TA,967,383,1350,1328,1328,1,5,308,0,2678,3966,104,2,0,0,1,0,0,1,0,0,1,1,0,1
42,43,144000,11.87756858,85,70.04995837,9180,5,0,TA,747,0,840,884,884,1,5,504,240,1724,3990,0,2,0,0,0,1,0,1,0,1,1,1,0,1
43,44,130250,11.77721096,20,70.04995837,9200,5,0,TA,280,167,938,938,938,1,5,308,145,1876,3988,0,2,0,0,0,1,0,1,0,1,1,1,0,1
44,45,141000,11.85651517,20,70,7945,5,0,TA,179,465,1150,1150,1150,1,6,300,0,2300,3965,0,2,0,0,0,0,0,1,0,0,1,1,0,1
45,46,319900,12.67576373,120,61,7658,9,412,Ex,456,1296,1752,1752,1752,1,6,576,196,3504,4015,82,3,0,0,1,1,0,1,1,0,1,2,0,2
46,47,239686,12.38708501,50,48,12822,7,0,Gd,1351,83,1434,1518,2149,1,6,670,168,3583,4012,241,2.5,0,1,1,1,0,2,1,1,1,2,0,1
47,48,249700,12.42801548,20,84,11096,8,0,Gd,24,1632,1656,1656,1656,1,7,826,0,3312,4013,146,2,3,0,1,0,0,1,0,0,1,2,0,1
48,49,113000,11.6351431,190,33,4456,4,0,TA,0,736,736,736,1452,3,8,0,0,2188,4017,102,2,0,1,1,0,0,1,0,0,1,0,0,1
49,50,127000,11.75194237,20,66,7742,5,0,TA,763,192,955,955,955,1,6,386,0,1910,3973,0,2,0,0,0,0,0,1,0,0,1,1,0,1
50,51,177000,12.08390501,60,70.04995837,13869,6,0,TA,182,612,794,794,1470,1,6,388,0,2264,4004,75,2.5,0,1,1,0,0,1,0,1,1,2,0,1
51,52,114500,11.6483301,50,52,6240,6,0,TA,0,816,816,816,1176,1,6,528,112,1992,3956,0,1,0,0,0,1,0,1,0,0,1,2,0,1
52,53,110000,11.60823564,90,110,8472,5,0,Fa,104,0,816,816,816,1,5,516,106,1632,3973,0,2,0,0,0,1,0,1,0,1,1,1,0,0
53,54,385000,12.86099861,20,68,50271,9,0,Gd,1810,32,1842,1842,1842,1,5,894,857,3684,3993,72,2.5,3,0,1,1,0,1,1,1,1,1,0,1
54,55,130000,11.77528973,80,60,7134,5,0,TA,384,0,384,1360,1360,1,6,572,0,1744,3962,50,1,0,0,1,0,0,1,0,0,1,1,0,1
55,56,180500,12.10348606,20,100,10175,6,272,TA,490,935,1425,1425,1425,1,7,576,0,2850,3972,407,2,0,0,1,0,0,1,0,1,1,1,0,1
56,57,172500,12.05815252,160,24,2645,8,456,Gd,649,321,970,983,1739,1,7,480,115,2709,4009,0,3.5,0,1,0,1,0,1,0,0,1,2,0,1
57,58,196500,12.18841771,60,89,11645,7,0,Gd,0,860,860,860,1720,1,7,565,0,2580,4010,70,2.5,0,1,1,0,0,1,0,1,1,2,0,1
58,59,438780,12.99175343,60,66,13682,10,1031,Ex,0,1410,1410,1426,2945,1,10,641,192,4355,4012,37,3.5,3,1,1,1,0,1,1,1,1,2,0,2
59,60,124900,11.7352687,20,60,7200,5,0,TA,632,148,780,780,780,1,4,352,196,1560,3980,0,1,0,0,0,1,0,1,0,0,1,1,0,1
60,61,158000,11.97035031,20,63,13072,6,0,TA,941,217,1158,1158,1158,1,5,576,0,2316,4010,50,2.5,0,0,1,0,0,1,0,0,1,2,0,1
61,62,101000,11.5228758,75,60,7200,5,0,TA,0,530,530,581,1111,1,6,288,0,1641,4003,144,1,0,1,1,0,0,1,0,0,1,0,0,0
62,63,202500,12.21849517,120,44,6442,8,178,Gd,24,1346,1370,1370,1370,1,6,484,120,2740,4013,49,2,0,0,1,1,0,1,0,1,1,2,1,2
63,64,140000,11.8493977,70,50,10300,7,0,TA,0,576,576,902,1710,1,9,480,12,2286,3960,75,2,0,1,1,1,0,1,0,1,1,0,0,1
64,65,219500,12.29910751,60,70.04995837,9375,7,573,TA,739,318,1057,1057,2034,1,8,645,576,3091,4007,36,3.5,0,1,1,1,0,1,0,0,1,2,0,1
65,66,317000,12.66665705,60,76,9591,8,344,Gd,0,1143,1143,1143,2473,1,9,852,192,3616,4012,151,2.5,3,1,1,1,0,1,1,0,1,2,0,2
66,67,180000,12.10071213,20,70.04995837,19900,7,287,TA,912,1035,1947,2207,2207,1,7,576,301,4154,3999,0,3,0,0,0,1,0,1,0,0,1,1,0,1
67,68,226000,12.32829028,20,72,10665,7,167,Gd,1013,440,1453,1479,1479,1,7,558,144,2932,4010,29,3,0,0,1,1,0,1,0,1,1,2,0,1
68,69,80000,11.28978191,30,47,4608,4,0,TA,0,747,747,747,747,1,4,220,0,1494,3960,0,1,0,0,0,0,0,1,0,0,1,1,0,1
69,70,225000,12.32385568,50,81,15593,7,0,Gd,603,701,1304,1304,2287,1,7,667,0,3591,3959,135,2,0,1,1,0,0,1,0,0,1,1,0,1
70,71,244000,12.4049235,20,95,13651,7,1115,TA,1880,343,2223,2223,2223,1,8,516,300,4446,3980,0,3,0,0,0,1,0,1,0,1,1,1,0,1
71,72,129500,11.77143616,20,69,7599,4,0,TA,565,280,845,845,845,1,4,360,0,1690,4013,0,2,0,0,0,0,0,1,0,0,1,1,0,1
72,73,185000,12.1281111,60,74,10141,7,40,TA,0,832,832,885,1718,1,7,427,0,2550,4007,385,2.5,0,1,1,0,0,1,0,1,1,2,0,1
73,74,144900,11.88379913,20,85,10200,5,104,TA,320,404,1086,1086,1086,1,6,490,0,2172,4013,0,2,0,0,0,0,0,1,0,0,1,1,0,1
74,75,107400,11.58431546,50,60,5790,3,0,Gd,0,840,840,840,1605,2,8,379,0,2445,3960,202,2,0,1,1,0,0,1,0,0,1,1,0,1
75,76,91000,11.41861479,180,21,1596,4,0,TA,462,0,462,526,988,1,5,297,120,1450,3982,101,2,0,1,1,1,0,1,0,0,1,1,0,0
76,77,135750,11.81857024,20,70.04995837,8475,4,0,TA,228,724,952,952,952,1,4,283,0,1904,3964,0,1,0,0,0,0,0,1,0,1,1,1,0,1
77,78,127000,11.75194237,50,50,8635,5,0,TA,336,295,672,1072,1285,1,6,240,0,1957,4009,0,2,0,1,0,0,0,1,0,0,1,1,0,1
78,79,136500,11.82407989,90,72,10778,4,0,TA,0,1768,1768,1768,1768,2,8,0,0,3536,3978,0,2,0,0,0,0,0,1,0,0,1,1,0,1
79,80,110000,11.60823564,50,60,10440,5,0,TA,0,440,440,682,1230,1,5,440,74,1670,3990,128,1.5,0,1,1,1,0,1,0,0,1,2,0,1
80,81,193500,12.17303279,60,100,13000,6,576,TA,448,448,896,1182,2142,1,8,509,0,3038,3977,324,2.5,0,1,1,0,0,1,0,0,1,1,0,1
81,82,153500,11.94145585,120,32,4500,6,443,TA,1201,36,1237,1337,1337,1,5,405,0,2574,4004,199,3,0,0,1,0,0,1,1,0,1,2,0,1
82,83,245000,12.40901349,20,78,10206,8,468,TA,33,1530,1563,1563,1563,1,6,758,144,3126,4015,99,2,3,0,1,1,0,1,0,0,1,2,1,1
83,84,126500,11.74799759,20,80,8892,5,66,TA,0,1065,1065,1065,1065,1,6,461,74,2130,3967,0,1.5,0,0,0,1,0,1,0,1,1,1,0,1
84,85,168500,12.03469103,80,70.04995837,8530,7,22,TA,0,384,384,804,1474,1,7,400,120,1858,4005,72,2.5,0,1,1,1,0,1,0,1,1,2,0,1
85,86,260000,12.46843691,60,121,16059,8,284,Gd,0,1288,1288,1301,2417,1,9,462,127,3705,3998,82,2.5,0,1,1,1,0,1,0,0,1,1,0,2
86,87,174000,12.06681058,60,122,11911,6,0,Gd,0,684,684,684,1560,1,6,400,100,2244,4014,38,2.5,0,1,1,1,0,1,0,1,1,2,0,1
87,88,164500,12.01066585,160,40,3951,6,76,Gd,0,612,612,612,1224,1,4,528,0,1836,4018,234,2.5,0,1,1,0,0,1,0,0,1,2,1,1
88,89,85000,11.35040654,50,105,8470,3,0,Fa,0,1013,1013,1013,1526,1,6,0,0,2539,3991,156,1,0,0,1,0,0,1,0,1,1,1,0,0
89,90,123600,11.72480582,20,60,8070,4,0,TA,588,402,990,990,990,1,5,0,0,1980,4002,0,2,0,0,0,0,0,1,0,0,1,2,0,1
90,91,109900,11.60732614,20,60,7200,4,0,TA,0,0,0,1040,1040,1,4,420,0,1040,3956,29,1,0,0,1,0,0,1,0,0,1,0,0,1
91,92,98600,11.49882654,20,85,8500,5,203,TA,600,635,1235,1235,1235,1,6,480,0,2470,3967,0,1,0,0,0,0,0,1,0,0,1,1,0,1
92,93,163500,12.00456827,30,80,13360,5,0,TA,713,163,876,964,964,1,5,432,0,1840,4015,44,2,0,0,1,0,0,1,0,1,1,0,0,1
93,94,133900,11.80484853,190,60,7200,6,0,TA,1046,168,1214,1260,2291,2,9,506,0,3505,4005,99,2.5,0,1,1,0,0,1,0,0,1,0,0,1
94,95,204750,12.229545,60,69,9337,6,0,TA,648,176,824,905,1786,1,7,684,0,2610,4004,162,3.5,0,1,1,0,0,1,0,1,1,2,0,1
95,96,185000,12.1281111,60,70.04995837,9765,6,68,Ex,310,370,680,680,1470,1,6,420,232,2150,4002,63,2.5,0,1,1,1,0,1,0,1,1,2,0,1
96,97,214000,12.27373129,20,78,10264,7,183,Gd,1162,426,1588,1588,1588,1,6,472,158,3176,4005,29,2,0,0,1,1,0,1,0,1,1,2,0,1
97,98,94750,11.45899712,20,73,10921,4,48,TA,520,440,960,960,960,1,6,432,120,1920,3972,0,2,0,0,0,1,0,1,0,0,1,1,0,1
98,99,83000,11.32659589,30,85,10625,5,0,TA,108,350,458,835,835,1,5,366,0,1293,3960,77,1,0,0,1,0,0,1,0,0,1,0,0,1
99,100,128950,11.76718001,20,77,9320,4,0,TA,569,381,950,1225,1225,1,6,0,352,2175,3969,0,2.5,0,0,0,1,0,1,0,1,1,1,0,1
100,101,205000,12.23076526,20,70.04995837,10603,6,28,TA,1200,410,1610,1610,1610,1,6,480,168,3220,4011,68,3,0,0,1,1,0,1,0,1,1,2,0,1
101,102,178000,12.08953883,60,77,9206,6,336,Gd,0,741,741,977,1732,1,7,476,192,2473,3995,46,2.5,0,1,1,1,0,1,0,0,1,1,0,1
102,103,118964,11.68657621,90,64,7018,5,0,TA,0,0,0,1535,1535,2,8,410,0,1535,3988,0,2,0,0,0,0,0,1,0,0,1,0,0,1
103,104,198900,12.20055746,20,94,10402,7,0,TA,0,1226,1226,1226,1226,1,6,740,0,2452,4019,36,2,3,0,1,0,0,1,0,1,1,2,0,1
104,105,169500,12.04060821,50,70.04995837,7758,7,600,TA,224,816,1040,1226,1818,1,7,240,0,2858,3957,184,1.5,0,1,1,0,0,1,0,0,1,2,0,0
105,106,250000,12.4292162,60,75,9375,8,768,Gd,0,1053,1053,1053,1992,1,9,648,140,3045,4012,45,2.5,0,1,1,1,0,1,1,0,1,2,0,1
106,107,100000,11.51292546,30,60,10800,4,0,TA,0,641,641,1047,1047,1,6,273,0,1688,4002,0,1,0,0,0,0,0,1,0,0,1,0,0,1
107,108,115000,11.65268741,20,50,6000,5,0,TA,104,516,789,789,789,1,5,250,0,1578,3958,0,1,0,0,0,0,0,1,0,0,1,1,0,1
108,109,115000,11.65268741,50,85,8500,5,0,TA,0,793,793,997,1517,1,7,0,0,2310,4012,144,2,0,1,1,0,0,1,0,0,1,1,0,0
109,110,190000,12.15477935,20,105,11751,6,480,TA,705,1139,1844,1844,1844,1,7,546,0,3688,3987,122,2,0,0,1,0,0,1,0,1,1,1,0,1
110,111,136900,11.82700601,50,75,9525,6,0,TA,444,550,994,1216,1855,1,7,325,182,2849,3978,0,2,0,1,0,1,0,1,0,0,1,1,0,1
111,112,180000,12.10071213,80,70.04995837,7750,7,0,TA,250,134,384,774,1430,1,7,400,180,1814,4010,0,2.5,0,1,0,1,0,1,0,1,1,2,0,1
112,113,383970,12.8583197,60,77,9965,7,220,Gd,984,280,1264,1282,2696,1,10,792,120,3960,4014,352,3.5,3,1,1,1,0,1,1,0,1,2,1,1
113,114,217000,12.28765263,20,70.04995837,21000,6,184,TA,35,905,1809,2259,2259,1,7,450,166,4068,3960,312,3,0,0,1,1,0,1,0,0,1,1,0,1
114,115,259500,12.46651198,70,61,7259,6,0,TA,774,104,1028,1436,2320,1,9,180,224,3348,4009,0,3.5,0,1,0,1,0,1,0,1,1,1,0,1
115,116,176000,12.07823927,160,34,3230,6,1129,TA,419,310,729,729,1458,1,5,440,0,2187,4006,32,2.5,0,1,1,0,0,1,0,0,1,2,0,1
116,117,139000,11.84222921,20,70.04995837,11616,5,116,TA,170,252,1092,1092,1092,1,6,288,0,2184,3971,164,1.5,0,0,1,0,0,1,0,0,1,1,0,1
117,118,155000,11.9511804,20,74,8536,5,0,TA,0,1125,1125,1125,1125,1,5,430,80,2250,4014,64,1.5,0,0,1,1,0,1,0,0,1,2,0,1
118,119,320000,12.67607627,60,90,12376,7,0,TA,1470,203,1673,1699,3222,1,11,594,367,4895,4000,0,4,3,1,0,1,0,1,0,0,1,2,0,1
119,120,163990,12.00756073,60,65,8461,6,0,Gd,0,728,728,728,1456,1,8,390,0,2184,4012,24,2.5,0,1,1,0,0,1,0,0,1,2,0,1
120,121,180000,12.10071213,80,70.04995837,21453,6,0,TA,938,0,938,988,988,1,4,540,0,1926,3975,260,2,0,0,1,0,0,1,0,1,1,1,0,1
121,122,100000,11.51292546,50,50,6060,4,0,TA,0,732,732,772,1123,1,4,264,0,1855,3957,140,1,0,1,1,0,0,1,0,0,1,2,0,0
122,123,136000,11.82041016,20,75,9464,6,135,TA,570,510,1080,1080,1080,1,5,288,0,2160,3966,130,1,0,0,1,0,0,1,0,0,1,1,0,1
123,124,153900,11.94405832,120,55,7892,6,0,Gd,300,899,1199,1199,1199,1,5,530,0,2398,4001,63,2,0,0,1,0,0,1,0,0,1,2,0,1
124,125,181000,12.10625231,20,48,17043,6,0,TA,0,1362,1362,1586,1586,1,7,435,192,2948,4007,0,2,0,0,0,1,0,1,0,1,1,1,0,1
125,126,84500,11.34450681,190,60,6780,6,0,TA,490,30,520,520,754,1,5,0,53,1274,3988,0,2,0,0,0,1,0,1,0,0,1,1,0,0
126,127,128000,11.75978554,120,70.04995837,4928,6,0,TA,120,958,1078,958,958,1,5,440,0,2036,3983,205,2,0,0,1,0,0,1,0,1,1,1,0,1
127,128,87000,11.3736634,45,55,4388,5,0,TA,116,556,672,840,840,1,5,0,0,1512,3957,0,1,0,0,0,0,0,1,0,1,1,0,0,1
128,129,155000,11.9511804,60,69,7590,6,266,TA,512,148,660,660,1348,1,6,453,188,2008,3972,108,1.5,0,1,1,1,0,1,0,0,1,1,0,1
129,130,150000,11.91839057,20,69,8973,5,85,TA,567,413,1008,1053,1053,1,6,750,0,2061,3997,260,2,0,0,1,0,0,1,0,0,1,1,0,1
130,131,226000,12.32829028,60,88,14200,7,309,TA,445,479,924,1216,2157,1,8,487,105,3081,3972,66,2.5,0,1,1,1,0,1,0,0,1,1,0,1
131,132,244000,12.4049235,60,70.04995837,12224,6,40,Gd,695,297,992,1022,2054,1,7,390,24,3046,4009,48,3.5,0,1,1,1,0,1,0,1,1,2,0,1
132,133,150750,11.92337811,20,75,7388,5,0,TA,405,658,1063,1327,1327,1,7,624,0,2390,4009,0,2,0,0,0,0,0,1,0,0,1,1,0,1
133,134,220000,12.30138283,20,70.04995837,6853,8,136,Gd,1005,262,1267,1296,1296,1,6,471,192,2563,4011,25,3,0,0,1,1,0,1,1,1,1,2,0,1
134,135,180000,12.10071213,20,78,10335,5,0,TA,570,891,1461,1721,1721,1,7,440,0,3182,3999,276,2.5,0,0,1,0,0,1,0,1,1,1,0,1
135,136,174000,12.06681058,20,80,10400,7,288,TA,0,1304,1304,1682,1682,1,7,530,98,2986,3978,0,2,0,0,0,1,0,1,0,0,1,2,0,1
136,137,143000,11.87059991,20,70.04995837,10355,5,196,TA,695,519,1214,1214,1214,1,5,318,0,2428,3974,111,2,0,0,1,0,0,1,0,1,1,1,0,1
137,138,171000,12.04941884,90,82,11070,7,70,TA,0,1907,1907,1959,1959,2,9,766,0,3866,3995,0,3,3,0,0,0,0,1,0,0,1,1,0,1
138,139,230000,12.34583459,60,73,9066,8,320,Gd,668,336,1004,1004,1852,1,7,660,224,2856,4008,106,2.5,3,1,1,1,0,1,0,1,1,2,0,1
139,140,231500,12.35233515,60,65,15426,6,0,TA,821,107,928,928,1764,1,7,470,276,2692,4006,99,3.5,0,1,1,1,0,1,0,1,1,2,0,1
140,141,115000,11.65268741,20,70,10500,4,0,TA,432,432,864,864,864,1,5,0,0,1728,3981,0,1,0,0,0,0,0,1,0,0,1,1,0,1
141,142,260000,12.46843691,20,78,11645,7,0,Gd,1300,434,1734,1734,1734,1,7,660,160,3468,4011,24,3,0,0,1,1,0,1,0,0,1,2,0,1
142,143,166000,12.01974307,50,71,8520,5,0,TA,507,403,910,910,1385,1,6,720,0,2295,3962,0,2,0,1,0,0,0,1,0,0,1,1,0,1
143,144,204000,12.22587527,20,78,10335,7,183,Gd,679,811,1490,1501,1501,1,6,577,144,2991,4008,29,3,0,0,1,1,0,1,0,1,1,2,0,1
144,145,125000,11.73606902,90,70,9100,5,336,TA,1332,396,1728,1728,1728,2,10,504,0,3456,3969,0,3,0,0,0,0,0,1,0,0,1,1,0,1
145,146,130000,11.77528973,160,24,2522,6,50,Gd,0,970,970,970,1709,1,7,380,0,2679,4012,40,2,0,1,1,0,0,1,0,0,1,2,1,1
146,147,105000,11.56171563,30,51,6120,5,0,TA,209,506,715,875,875,1,5,180,48,1590,4002,0,2,0,0,0,1,0,1,0,0,1,0,0,1
147,148,222500,12.31268238,60,70.04995837,9505,7,180,Gd,0,884,884,884,2035,1,8,434,144,2919,4011,48,2.5,0,1,1,1,0,1,0,1,1,2,0,1
148,149,141000,11.85651517,20,63,7500,7,120,TA,680,400,1080,1080,1080,1,6,0,0,2160,4013,0,2,0,0,0,0,0,1,0,0,1,2,0,1
149,150,115000,11.65268741,50,70.04995837,6240,5,0,TA,0,896,896,896,1344,1,7,240,200,2240,3956,114,1,0,1,1,1,0,1,0,0,1,0,0,1
150,151,122000,11.71177632,20,120,10356,5,0,TA,716,253,969,969,969,1,5,440,0,1938,3982,0,1.5,0,0,0,0,0,1,0,0,1,1,0,1
151,152,372402,12.82772919,20,107,13891,8,436,Gd,1400,310,1710,1710,1710,1,6,866,0,3420,4016,102,3,3,0,1,0,0,1,1,0,1,2,1,2
152,153,190000,12.15477935,60,70.04995837,14803,6,252,TA,416,409,825,1097,1993,1,8,495,0,2818,3977,66,2.5,0,1,1,0,0,1,0,1,1,1,0,1
153,154,235000,12.36734079,20,70.04995837,13500,6,0,TA,429,93,1602,1252,1252,1,4,564,409,2854,3983,0,2,0,0,0,1,0,1,0,0,1,1,0,1
154,155,125000,11.73606902,30,84,11340,6,0,TA,0,1200,1200,1200,1200,1,7,312,0,2400,3956,228,1,0,0,1,0,0,1,0,0,1,0,0,1
155,156,79000,11.27720313,50,60,9600,6,0,TA,0,572,572,572,1096,1,5,0,0,1668,3958,136,1,0,1,1,0,0,1,0,0,1,0,0,1
156,157,109500,11.60367983,20,60,7200,5,0,TA,0,0,0,1040,1040,1,5,625,0,1040,3956,0,1,0,0,0,0,0,1,0,0,1,1,0,1
157,158,269500,12.50432367,60,92,12003,8,84,Gd,0,774,774,774,1968,1,8,680,0,2742,4020,75,2.5,3,1,1,0,0,1,1,0,1,2,0,1
158,159,254900,12.44862659,60,100,12552,7,0,Gd,222,769,991,991,1947,1,8,678,0,2938,4015,136,2.5,0,1,1,0,0,1,0,0,1,2,0,1
159,160,320000,12.67607627,60,134,19378,7,456,Gd,57,1335,1392,1392,2462,1,9,576,239,3854,4012,300,3.5,0,1,1,1,0,1,0,1,1,2,0,1
160,161,162500,11.99843328,20,70.04995837,11120,6,0,TA,660,572,1232,1232,1232,1,6,516,0,2464,3992,0,2,0,0,0,0,0,1,0,1,1,2,0,1
161,162,412500,12.92999148,60,110,13688,9,664,Gd,1016,556,1572,1572,2668,1,10,726,400,4240,4012,0,3.5,3,1,0,1,0,1,1,1,1,2,0,2
