,Id,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SalePrice,SalePrice_log,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasGasHeating,HasSBrkr,HasExBsmtQual,HasGd,HasGLQ,HasPavedDrive,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
10,11,20,70.0,11200,5,1965,0.0,TA,TA,Rec,906,134,1040,Ex,Y,1040,0,1040,1,0,1,0,1,TA,5,Detchd,Unf,384,TA,0,0,0,0,0,129500,11.771436160121729,2080,43,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
11,12,60,85.0,11924,9,2005,286.0,Ex,TA,GLQ,998,177,1175,Ex,Y,1182,1142,2324,1,0,3,0,1,Ex,11,BuiltIn,Fin,736,TA,147,21,0,0,0,345000,12.751299696013497,3499,0,21,4.0,3,1,1,1,0,1,1,1,1,0,1,1,1,0,2,1,2
12,13,20,70.04995836802665,12968,5,1962,0.0,TA,TA,ALQ,737,175,912,TA,Y,912,0,912,1,0,1,0,1,TA,4,Detchd,Unf,352,TA,140,0,0,0,176,144000,11.877568578558138,1824,46,176,2.0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1
13,14,20,91.0,10652,7,2006,306.0,Gd,TA,Unf,0,1494,1494,Ex,Y,1494,0,1494,0,0,2,0,1,Gd,7,Attchd,RFn,840,TA,160,33,0,0,0,279500,12.540757571577291,2988,0,33,2.0,3,0,1,1,0,1,1,1,0,0,0,1,1,0,2,1,1
14,15,20,70.04995836802665,10920,6,1960,212.0,TA,TA,BLQ,733,520,1253,TA,Y,1253,0,1253,1,0,1,1,1,TA,5,Attchd,RFn,352,TA,0,213,176,0,0,157000,11.964001084330445,2506,48,389,2.5,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
15,16,45,51.0,6120,7,1929,0.0,TA,TA,Unf,0,832,832,Ex,Y,854,0,854,0,0,1,0,1,TA,5,Detchd,Unf,576,TA,48,112,0,0,0,132000,11.790557201568507,1686,6,112,1.0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
16,17,20,70.04995836802665,11241,6,1970,180.0,TA,TA,ALQ,578,426,1004,Ex,Y,1004,0,1004,1,0,1,0,1,TA,5,Attchd,Fin,480,TA,0,0,0,0,0,149000,11.911701584927597,2008,40,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
17,18,90,72.0,10791,4,1967,0.0,TA,None,None,0,0,0,TA,Y,1296,0,1296,0,0,2,0,2,TA,6,CarPort,Unf,516,TA,0,0,0,0,0,90000,11.407564949312402,1296,39,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
18,19,20,66.0,13695,5,2004,0.0,TA,TA,GLQ,646,468,1114,Ex,Y,1114,0,1114,1,0,1,1,1,Gd,6,Detchd,Unf,576,TA,0,102,0,0,0,159000,11.976659481202368,2228,4,102,2.5,0,0,1,0,0,1,1,1,0,0,1,1,0,0,2,0,1
19,20,20,70.0,7560,5,1958,0.0,TA,TA,LwQ,504,525,1029,TA,Y,1339,0,1339,0,0,1,0,1,TA,6,Attchd,Unf,294,TA,0,0,0,0,0,139000,11.842229212112828,2368,44,0,1.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
20,21,60,101.0,14215,8,2005,380.0,Gd,TA,Unf,0,1158,1158,Ex,Y,1158,1218,2376,0,0,3,1,1,Gd,9,BuiltIn,RFn,853,TA,240,154,0,0,0,325300,12.692503112461443,3534,0,154,3.5,3,1,1,1,0,1,1,1,1,0,0,1,1,0,2,0,2
21,22,45,57.0,7449,7,1930,0.0,TA,TA,Unf,0,637,637,Ex,Y,1108,0,1108,0,0,1,0,1,Gd,6,Attchd,Unf,280,TA,0,0,205,0,0,139400,11.845102777308561,1745,57,205,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0
22,23,20,75.0,9742,8,2002,281.0,Gd,TA,Unf,0,1777,1777,Ex,Y,1795,0,1795,0,0,2,0,1,Gd,7,Attchd,RFn,534,TA,171,159,0,0,0,230000,12.345834587905333,3572,6,159,2.0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,2,0,1
23,24,120,44.0,4224,5,1976,0.0,TA,TA,GLQ,840,200,1040,TA,Y,1060,0,1060,1,0,1,0,1,TA,6,Attchd,Unf,572,TA,100,110,0,0,0,129900,11.77452020265869,2100,31,110,2.0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,2,0,0
24,25,20,70.04995836802665,8246,5,1968,0.0,TA,TA,Rec,188,204,1060,Ex,Y,1060,0,1060,1,0,1,0,1,Gd,6,Attchd,Unf,270,TA,406,90,0,0,0,154000,11.944707881395766,2120,9,90,2.0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1
25,26,20,110.0,14230,8,2007,640.0,Gd,TA,Unf,0,1566,1566,Ex,Y,1600,0,1600,0,0,2,0,1,Gd,7,Attchd,RFn,890,TA,0,56,0,0,0,256300,12.454103912352162,3166,2,56,2.0,3,0,1,0,0,1,1,1,0,0,0,1,0,0,2,1,2
26,27,20,60.0,7200,5,1951,0.0,TA,TA,BLQ,234,180,900,TA,Y,900,0,900,0,1,1,0,1,Gd,5,Detchd,Unf,576,TA,222,32,0,0,0,134800,11.811547477460344,1800,10,32,1.5,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1
27,28,20,98.0,11478,8,2007,200.0,Gd,TA,GLQ,1218,486,1704,Ex,Y,1704,0,1704,1,0,2,0,1,Gd,7,Attchd,RFn,772,TA,0,50,0,0,0,306000,12.631340380934517,3408,2,50,3.0,3,0,1,0,0,1,1,1,1,0,1,1,0,0,2,1,2
28,29,20,47.0,16321,5,1957,0.0,TA,TA,BLQ,1277,207,1484,TA,Y,1600,0,1600,1,0,1,0,1,TA,6,Attchd,RFn,319,TA,288,258,0,0,0,207500,12.24288661865289,3084,9,258,2.0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1
29,30,30,60.0,6324,4,1927,0.0,TA,TA,Unf,0,520,520,Fa,N,520,0,520,0,0,1,0,1,Fa,4,Detchd,Unf,240,Fa,49,0,87,0,0,68500,11.134589024250317,1040,58,87,1.0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1
30,31,70,50.0,8500,4,1920,0.0,TA,TA,Unf,0,649,649,TA,N,649,668,1317,0,0,1,0,1,TA,6,Detchd,Unf,250,TA,0,54,172,0,0,40000,10.596634733096073,1966,58,226,1.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
31,32,20,70.04995836802665,8544,5,1966,0.0,TA,TA,Unf,0,1228,1228,Gd,Y,1228,0,1228,0,0,1,1,1,Gd,6,Attchd,Unf,271,TA,0,65,0,0,0,149350,11.914047823644255,2456,2,65,1.5,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
32,33,20,85.0,11049,8,2007,0.0,Gd,TA,Unf,0,1234,1234,Ex,Y,1234,0,1234,0,0,2,0,1,Gd,7,Attchd,RFn,484,TA,0,30,0,0,0,179900,12.100156419938624,2468,1,30,2.0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2,0,1
33,34,20,70.0,10552,5,1959,0.0,TA,TA,Rec,1018,380,1398,Gd,Y,1700,0,1700,0,1,1,1,1,Gd,6,Attchd,RFn,447,TA,0,38,0,0,0,165500,12.016726473799254,3098,51,38,2.0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
34,35,120,60.0,7313,9,2005,246.0,Ex,TA,GLQ,1153,408,1561,Ex,Y,1561,0,1561,1,0,2,0,1,Ex,6,Attchd,Fin,556,TA,203,47,0,0,0,277500,12.533576212168626,3122,2,47,3.0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,2,0,2
35,36,60,108.0,13418,8,2004,132.0,Gd,TA,Unf,0,1117,1117,Ex,Y,1132,1320,2452,0,0,3,1,1,Gd,9,BuiltIn,Fin,691,TA,113,32,0,0,0,309000,12.641096555879882,3569,1,32,3.5,3,1,1,1,0,1,1,1,1,0,0,1,0,0,2,1,2
36,37,20,112.0,10859,5,1994,0.0,TA,TA,Unf,0,1097,1097,Ex,Y,1097,0,1097,0,0,1,1,1,TA,6,Attchd,Unf,672,TA,392,64,0,0,0,145000,11.884489021402711,2194,14,64,1.5,0,0,1,1,0,1,1,1,0,0,0,1,0,0,2,0,1
37,38,20,74.0,8532,5,1954,650.0,TA,TA,Rec,1213,84,1297,Gd,Y,1297,0,1297,0,1,1,0,1,TA,5,Attchd,Fin,498,TA,0,0,0,0,0,153000,11.938193200374572,2594,19,0,1.5,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
38,39,20,68.0,7922,5,1953,0.0,TA,TA,GLQ,731,326,1057,TA,Y,1057,0,1057,1,0,1,0,1,Gd,5,Detchd,Unf,246,TA,0,52,0,0,0,109000,11.59910316121128,2114,3,52,2.0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1
39,40,90,65.0,6040,4,1955,0.0,TA,None,None,0,0,0,TA,N,1152,0,1152,0,0,2,0,2,Fa,6,None,None,0,None,0,0,0,0,0,82000,11.314474526246391,1152,53,0,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1
40,41,20,84.0,8658,6,1965,101.0,TA,TA,Rec,643,445,1088,Ex,Y,1324,0,1324,0,0,2,0,1,TA,6,Attchd,RFn,440,TA,0,138,0,0,0,160000,11.982929094215963,2412,41,138,2.0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
41,42,20,115.0,16905,5,1959,0.0,TA,TA,BLQ,967,383,1350,Gd,Y,1328,0,1328,0,1,1,1,1,TA,5,Attchd,RFn,308,TA,0,104,0,0,0,170000,12.043553716032399,2678,48,104,2.0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1
42,43,85,70.04995836802665,9180,5,1983,0.0,TA,TA,ALQ,747,0,840,Gd,Y,884,0,884,1,0,1,0,1,Gd,5,Attchd,RFn,504,TA,240,0,0,0,0,144000,11.877568578558138,1724,24,0,2.0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
43,44,20,70.04995836802665,9200,5,1975,0.0,TA,TA,LwQ,280,167,938,TA,Y,938,0,938,1,0,1,0,1,TA,5,Detchd,Unf,308,TA,145,0,0,0,0,130250,11.777210959615614,1876,28,0,2.0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
44,45,20,70.0,7945,5,1959,0.0,TA,TA,ALQ,179,465,1150,Ex,Y,1150,0,1150,1,0,1,0,1,TA,6,Attchd,RFn,300,TA,0,0,0,0,0,141000,11.856515169360305,2300,47,0,2.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
45,46,120,61.0,7658,9,2005,412.0,Ex,TA,GLQ,456,1296,1752,Ex,Y,1752,0,1752,1,0,2,0,1,Ex,6,Attchd,RFn,576,TA,196,82,0,0,0,319900,12.675763725937609,3504,5,82,3.0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,2,0,2
46,47,50,48.0,12822,7,2003,0.0,Gd,TA,GLQ,1351,83,1434,Ex,Y,1518,631,2149,1,0,1,1,1,Gd,6,Attchd,RFn,670,TA,168,43,0,0,198,239686,12.387085012375499,3583,6,241,2.5,0,1,1,1,0,2,1,1,1,0,1,1,1,0,2,0,1
47,48,20,84.0,11096,8,2006,0.0,Gd,TA,GLQ,24,1632,1656,Ex,Y,1656,0,1656,0,0,2,0,1,Gd,7,Attchd,RFn,826,TA,0,146,0,0,0,249700,12.428015476267865,3312,1,146,2.0,3,0,1,0,0,1,1,1,0,0,1,1,0,0,2,0,1
48,49,190,33.0,4456,4,1920,0.0,TA,TA,Unf,0,736,736,Gd,Y,736,716,1452,0,0,2,0,3,TA,8,None,None,0,None,0,0,102,0,0,113000,11.635143097694478,2188,1,102,2.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
49,50,20,66.0,7742,5,1966,0.0,TA,TA,BLQ,763,192,955,Ex,Y,955,0,955,1,0,1,0,1,TA,6,Attchd,Unf,386,TA,0,0,0,0,0,127000,11.751942365440728,1910,41,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
50,51,60,70.04995836802665,13869,6,1997,0.0,TA,TA,GLQ,182,612,794,Gd,Y,794,676,1470,0,1,2,0,1,TA,6,Attchd,Fin,388,TA,0,75,0,0,0,177000,12.083905011555967,2264,10,75,2.5,0,1,1,0,0,1,1,1,0,0,1,1,1,0,2,0,1
51,52,50,52.0,6240,6,1934,0.0,TA,TA,Unf,0,816,816,TA,Y,816,0,1176,0,0,1,0,1,TA,6,Detchd,Unf,528,TA,112,0,0,0,0,114500,11.648330101976432,1992,56,0,1.0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,2,0,1
52,53,90,110.0,8472,5,1963,0.0,Fa,TA,LwQ,104,0,816,TA,N,816,0,816,1,0,1,0,1,TA,5,CarPort,Unf,516,TA,106,0,0,0,0,110000,11.608235644774552,1632,47,0,2.0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0
53,54,20,68.0,50271,9,1981,0.0,Gd,TA,GLQ,1810,32,1842,Gd,Y,1842,0,1842,2,0,0,1,1,Gd,5,Attchd,Fin,894,TA,857,72,0,0,0,385000,12.86099861326992,3684,19,72,2.5,3,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
54,55,80,60.0,7134,5,1955,0.0,TA,TA,ALQ,384,0,384,TA,Y,1360,0,1360,0,0,1,0,1,TA,6,Detchd,Unf,572,TA,0,50,0,0,0,130000,11.77528972943772,1744,52,50,1.0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1
55,56,20,100.0,10175,6,1964,272.0,TA,TA,BLQ,490,935,1425,Gd,Y,1425,0,1425,0,0,2,0,1,TA,7,Attchd,RFn,576,TA,0,0,0,407,0,180500,12.103486056755072,2850,44,407,2.0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
56,57,160,24.0,2645,8,1999,456.0,Gd,TA,GLQ,649,321,970,Ex,Y,983,756,1739,1,0,2,1,1,Gd,7,Attchd,Fin,480,TA,115,0,0,0,0,172500,12.058152515453552,2709,9,0,3.5,0,1,0,1,0,1,1,1,0,0,1,1,0,0,2,0,1
57,58,60,89.0,11645,7,2004,0.0,Gd,TA,Unf,0,860,860,Ex,Y,860,860,1720,0,0,2,1,1,Gd,7,Attchd,RFn,565,TA,0,70,0,0,0,196500,12.188417710291453,2580,2,70,2.5,0,1,1,0,0,1,1,1,0,0,0,1,1,0,2,0,1
58,59,60,66.0,13682,10,2006,1031.0,Ex,TA,Unf,0,1410,1410,Ex,Y,1426,1519,2945,0,0,3,1,1,Gd,10,BuiltIn,Fin,641,TA,192,0,37,0,0,438780,12.991753427493052,4355,0,37,3.5,3,1,1,1,0,1,1,1,1,1,0,1,1,0,2,0,2
59,60,20,60.0,7200,5,1972,0.0,TA,TA,ALQ,632,148,780,Ex,Y,780,0,780,0,0,1,0,1,TA,4,Detchd,Unf,352,TA,196,0,0,0,0,124900,11.73526869611367,1560,36,0,1.0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
60,61,20,63.0,13072,6,2004,0.0,TA,TA,ALQ,941,217,1158,Ex,Y,1158,0,1158,1,0,1,1,1,Gd,5,Detchd,Unf,576,TA,0,50,0,0,0,158000,11.970350312009105,2316,2,50,2.5,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,1
61,62,75,60.0,7200,5,1920,0.0,TA,Fa,Unf,0,530,530,TA,N,581,530,1111,0,0,1,0,1,Fa,6,Detchd,Unf,288,TA,0,0,144,0,0,101000,11.522875795823397,1641,11,144,1.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
62,63,120,44.0,6442,8,2006,178.0,Gd,Gd,GLQ,24,1346,1370,Ex,Y,1370,0,1370,0,0,2,0,1,Gd,6,Attchd,RFn,484,TA,120,49,0,0,0,202500,12.218495165528731,2740,1,49,2.0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,2,1,2
63,64,70,50.0,10300,7,1921,0.0,TA,TA,Unf,0,576,576,Gd,Y,902,808,1710,0,0,2,0,1,TA,9,Detchd,Unf,480,TA,12,11,64,0,0,140000,11.84939770159144,2286,60,75,2.0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1
64,65,60,70.04995836802665,9375,7,1997,573.0,TA,TA,GLQ,739,318,1057,Ex,Y,1057,977,2034,1,0,2,1,1,Gd,8,Attchd,RFn,645,TA,576,36,0,0,0,219500,12.299107511497363,3091,11,36,3.5,0,1,1,1,0,1,1,1,0,0,1,1,0,0,2,0,1
65,66,60,76.0,9591,8,2004,344.0,Gd,TA,Unf,0,1143,1143,Ex,Y,1143,1330,2473,0,0,2,1,1,Gd,9,BuiltIn,RFn,852,TA,192,151,0,0,0,317000,12.666657052859417,3616,2,151,2.5,3,1,1,1,0,1,1,1,1,0,0,1,0,0,2,0,2
66,67,20,70.04995836802665,19900,7,1970,287.0,TA,TA,GLQ,912,1035,1947,TA,Y,2207,0,2207,1,0,2,0,1,TA,7,Attchd,RFn,576,TA,301,0,0,0,0,180000,12.100712129872347,4154,21,0,3.0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1
67,68,20,72.0,10665,7,2003,167.0,Gd,TA,GLQ,1013,440,1453,Ex,Y,1479,0,1479,1,0,2,0,1,Gd,7,Attchd,RFn,558,TA,144,29,0,0,0,226000,12.328290278254423,2932,4,29,3.0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,2,0,1
68,69,30,47.0,4608,4,1945,0.0,TA,TA,Unf,0,747,747,TA,Y,747,0,747,0,0,1,0,1,TA,4,Attchd,Unf,220,TA,0,0,0,0,0,80000,11.289781913656018,1494,60,0,1.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
69,70,50,81.0,15593,7,1953,0.0,Gd,TA,BLQ,603,701,1304,TA,Y,1304,983,2287,0,0,2,0,1,TA,7,Attchd,Fin,667,TA,0,21,114,0,0,225000,12.323855681186558,3591,53,135,2.0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
70,71,20,95.0,13651,7,1973,1115.0,TA,TA,ALQ,1880,343,2223,Ex,Y,2223,0,2223,1,0,2,0,1,TA,8,Attchd,Fin,516,TA,300,0,0,0,0,244000,12.404923504275338,4446,34,0,3.0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1
71,72,20,69.0,7599,4,1982,0.0,TA,TA,ALQ,565,280,845,TA,Y,845,0,845,1,0,1,0,1,TA,4,Detchd,Unf,360,TA,0,0,0,0,0,129500,11.771436160121729,1690,1,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
72,73,60,74.0,10141,7,1998,40.0,TA,TA,Unf,0,832,832,Gd,Y,885,833,1718,0,0,2,1,1,TA,7,Attchd,Fin,427,TA,0,94,0,0,291,185000,12.128111104060462,2550,11,385,2.5,0,1,1,0,0,1,1,1,0,0,0,1,1,0,2,0,1
73,74,20,85.0,10200,5,1954,104.0,TA,TA,ALQ,320,404,1086,Gd,Y,1086,0,1086,1,0,1,0,1,TA,6,Attchd,Unf,490,TA,0,0,0,0,0,144900,11.883799128308773,2172,7,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
74,75,50,60.0,5790,3,1915,0.0,Gd,TA,Unf,0,840,840,Gd,N,840,765,1605,0,0,2,0,2,TA,8,Detchd,Unf,379,TA,0,0,202,0,0,107400,11.584315461056901,2445,60,202,2.0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
75,76,180,21.0,1596,4,1973,0.0,TA,TA,GLQ,462,0,462,TA,Y,526,462,988,1,0,1,0,1,TA,5,BuiltIn,Unf,297,TA,120,101,0,0,0,91000,11.418614785498987,1450,36,101,2.0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
76,77,20,70.04995836802665,8475,4,1956,0.0,TA,TA,ALQ,228,724,952,Ex,Y,952,0,952,0,0,1,0,1,TA,4,Detchd,Unf,283,TA,0,0,0,0,0,135750,11.818570237796182,1904,52,0,1.0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
77,78,50,50.0,8635,5,1948,0.0,TA,TA,BLQ,336,295,672,TA,Y,1072,213,1285,1,0,1,0,1,TA,6,Detchd,Unf,240,TA,0,0,0,0,0,127000,11.751942365440728,1957,7,0,2.0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
78,79,90,72.0,10778,4,1968,0.0,TA,TA,Unf,0,1768,1768,TA,N,1768,0,1768,0,0,2,0,2,TA,8,None,None,0,None,0,0,0,0,0,136500,11.824079893607152,3536,42,0,2.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
79,80,50,60.0,10440,5,1910,0.0,TA,TA,Unf,0,440,440,Gd,Y,682,548,1230,0,0,1,1,1,TA,5,Detchd,Unf,440,TA,74,0,128,0,0,110000,11.608235644774552,1670,28,128,1.5,0,1,1,1,0,1,1,1,0,0,0,1,0,0,2,0,1
80,81,60,100.0,13000,6,1968,576.0,TA,TA,Rec,448,448,896,TA,Y,1182,960,2142,0,0,2,1,1,Gd,8,Attchd,Fin,509,TA,0,72,0,0,252,193500,12.173032791451973,3038,41,324,2.5,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
81,82,120,32.0,4500,6,1998,443.0,TA,Gd,GLQ,1201,36,1237,Ex,Y,1337,0,1337,1,0,2,0,1,TA,5,Attchd,Fin,405,TA,0,199,0,0,0,153500,11.941455846009388,2574,8,199,3.0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,2,0,1
82,83,20,78.0,10206,8,2007,468.0,TA,TA,GLQ,33,1530,1563,Ex,Y,1563,0,1563,0,0,2,0,1,Gd,6,Attchd,RFn,758,TA,144,99,0,0,0,245000,12.409013489526863,3126,1,99,2.0,3,0,1,1,0,1,1,1,0,0,1,1,0,0,2,1,1
83,84,20,80.0,8892,5,1960,66.0,TA,TA,Unf,0,1065,1065,Gd,Y,1065,0,1065,0,0,1,1,1,TA,6,Detchd,Unf,461,TA,74,0,0,0,0,126500,11.747997587149712,2130,47,0,1.5,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
84,85,80,70.04995836802665,8530,7,1995,22.0,TA,TA,Unf,0,384,384,Gd,Y,804,670,1474,0,0,2,1,1,TA,7,BuiltIn,Fin,400,TA,120,72,0,0,0,168500,12.034691028774553,1858,13,72,2.5,0,1,1,1,0,1,1,1,0,0,0,1,1,0,2,0,1
85,86,60,121.0,16059,8,1991,284.0,Gd,TA,Unf,0,1288,1288,Ex,Y,1301,1116,2417,0,0,2,1,1,Gd,9,Attchd,Unf,462,TA,127,82,0,0,0,260000,12.468436909997665,3705,14,82,2.5,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,2
86,87,60,122.0,11911,6,2005,0.0,Gd,TA,Unf,0,684,684,Ex,Y,684,876,1560,0,0,2,1,1,Gd,6,BuiltIn,Fin,400,TA,100,38,0,0,0,174000,12.066810578196666,2244,4,38,2.5,0,1,1,1,0,1,1,1,0,0,0,1,1,0,2,0,1
