,Id,LotFrontage,LotArea,LotShape,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,SalePrice_log
61,62,60.0,7200,Reg,Gtl,IDOTRR,5,7,1920,1996,None,0.0,BrkTil,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1935.0,1,288,0,0,144,0,0,0,0,3,2007,101000,11.522875795823397
62,63,44.0,6442,IR1,Gtl,NridgHt,8,5,2006,2006,Stone,178.0,PConc,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2006.0,2,484,120,49,0,0,0,0,0,10,2007,202500,12.218495165528731
63,64,50.0,10300,IR1,Gtl,OldTown,7,6,1921,1950,None,0.0,BrkTil,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,1990.0,2,480,12,11,64,0,0,0,0,4,2010,140000,11.84939770159144
64,65,70.04995836802665,9375,Reg,Gtl,CollgCr,7,5,1997,1998,BrkFace,573.0,PConc,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,219500,12.299107511497363
65,66,76.0,9591,Reg,Gtl,NridgHt,8,5,2004,2005,BrkFace,344.0,PConc,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,2004.0,3,852,192,151,0,0,0,0,0,10,2007,317000,12.666657052859417
66,67,70.04995836802665,19900,Reg,Gtl,NAmes,7,5,1970,1989,BrkFace,287.0,CBlock,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,1970.0,2,576,301,0,0,0,0,0,0,7,2010,180000,12.100712129872347
67,68,72.0,10665,IR1,Gtl,CollgCr,7,5,2003,2003,BrkFace,167.0,PConc,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2003.0,2,558,144,29,0,0,0,0,0,6,2007,226000,12.328290278254423
68,69,47.0,4608,Reg,Gtl,OldTown,4,6,1945,1950,None,0.0,CBlock,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1945.0,1,220,0,0,0,0,0,0,0,6,2010,80000,11.289781913656018
69,70,81.0,15593,Reg,Gtl,ClearCr,7,4,1953,1953,None,0.0,CBlock,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,1953.0,2,667,0,21,114,0,0,0,0,7,2006,225000,12.323855681186558
70,71,95.0,13651,IR1,Gtl,NAmes,7,6,1973,1973,BrkFace,1115.0,CBlock,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,1973.0,2,516,300,0,0,0,0,0,0,2,2007,244000,12.404923504275338
71,72,69.0,7599,Reg,Gtl,Mitchel,4,6,1982,2006,None,0.0,CBlock,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,1987.0,2,360,0,0,0,0,0,0,0,6,2007,129500,11.771436160121729
72,73,74.0,10141,IR1,Gtl,Gilbert,7,5,1998,1998,BrkFace,40.0,PConc,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,1998.0,2,427,0,94,0,0,291,0,0,12,2009,185000,12.128111104060462
73,74,85.0,10200,Reg,Gtl,NAmes,5,7,1954,2003,BrkFace,104.0,CBlock,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,1989.0,2,490,0,0,0,0,0,0,0,5,2010,144900,11.883799128308773
74,75,60.0,5790,Reg,Gtl,OldTown,3,6,1915,1950,None,0.0,CBlock,0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1915.0,1,379,0,0,202,0,0,0,0,5,2010,107400,11.584315461056901
75,76,21.0,1596,Reg,Gtl,MeadowV,4,5,1973,1973,None,0.0,CBlock,462,0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1973.0,1,297,120,101,0,0,0,0,0,11,2009,91000,11.418614785498987
76,77,70.04995836802665,8475,IR1,Gtl,NAmes,4,7,1956,1956,None,0.0,CBlock,228,0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1956.0,1,283,0,0,0,0,0,0,0,4,2008,135750,11.818570237796182
77,78,50.0,8635,Reg,Gtl,BrkSide,5,5,1948,2001,None,0.0,CBlock,336,41,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1948.0,1,240,0,0,0,0,0,0,0,1,2008,127000,11.751942365440728
78,79,72.0,10778,Reg,Gtl,Sawyer,4,5,1968,1968,None,0.0,CBlock,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,1968.0,0,0,0,0,0,0,0,0,0,4,2010,136500,11.824079893607152
79,80,60.0,10440,Reg,Gtl,OldTown,5,6,1910,1981,None,0.0,PConc,0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,1966.0,2,440,74,0,128,0,0,0,0,5,2009,110000,11.608235644774552
80,81,100.0,13000,Reg,Gtl,NAmes,6,6,1968,1968,BrkFace,576.0,CBlock,448,0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1968.0,1,509,0,72,0,0,252,0,0,6,2009,193500,12.173032791451973
81,82,32.0,4500,Reg,Gtl,Mitchel,6,5,1998,1998,BrkFace,443.0,PConc,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,1998.0,2,405,0,199,0,0,0,0,0,3,2006,153500,11.941455846009388
82,83,78.0,10206,Reg,Gtl,Somerst,8,5,2007,2007,Stone,468.0,PConc,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,2007.0,3,758,144,99,0,0,0,0,0,10,2008,245000,12.409013489526863
83,84,80.0,8892,IR1,Gtl,NAmes,5,5,1960,1960,BrkCmn,66.0,CBlock,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,1974.0,2,461,74,0,0,0,0,0,0,7,2007,126500,11.747997587149712
84,85,70.04995836802665,8530,IR1,Gtl,Gilbert,7,5,1995,1996,BrkFace,22.0,PConc,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,1995.0,2,400,120,72,0,0,0,0,700,5,2009,168500,12.034691028774553
85,86,121.0,16059,Reg,Gtl,NoRidge,8,5,1991,1992,BrkFace,284.0,CBlock,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,1991.0,2,462,127,82,0,0,0,0,0,4,2006,260000,12.468436909997665
86,87,122.0,11911,IR2,Gtl,Gilbert,6,5,2005,2005,None,0.0,PConc,0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2005.0,2,400,100,38,0,0,0,0,0,3,2009,174000,12.066810578196666
87,88,40.0,3951,Reg,Gtl,Somerst,6,5,2009,2009,Stone,76.0,PConc,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2009.0,2,528,0,234,0,0,0,0,0,6,2009,164500,12.010665849187564
88,89,105.0,8470,IR1,Gtl,IDOTRR,3,2,1915,1982,None,0.0,CBlock,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,1915.0,0,0,0,0,156,0,0,0,0,10,2009,85000,11.350406535472453
89,90,60.0,8070,Reg,Gtl,CollgCr,4,5,1994,1995,None,0.0,PConc,588,0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,1994.0,0,0,0,0,0,0,0,0,0,8,2007,123600,11.724805824005728
90,91,60.0,7200,Reg,Gtl,NAmes,4,5,1950,1950,None,0.0,Slab,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,1950.0,2,420,0,29,0,0,0,0,0,7,2006,109900,11.607326140391713
91,92,85.0,8500,Reg,Gtl,NAmes,5,3,1961,1961,BrkCmn,203.0,CBlock,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,1961.0,2,480,0,0,0,0,0,0,0,12,2006,98600,11.498826540590727
92,93,80.0,13360,IR1,Gtl,Crawfor,5,7,1921,2006,None,0.0,BrkTil,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,1921.0,2,432,0,0,44,0,0,0,0,8,2009,163500,12.004568269319446
93,94,60.0,7200,Reg,Gtl,OldTown,6,6,1910,1998,None,0.0,BrkTil,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900.0,2,506,0,0,0,0,99,0,0,11,2007,133900,11.804848531679264
94,95,69.0,9337,IR1,Gtl,CollgCr,6,5,1997,1997,None,0.0,PConc,648,0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,1997.0,2,684,0,162,0,0,0,0,0,5,2007,204750,12.229545001715316
95,96,70.04995836802665,9765,IR2,Gtl,Gilbert,6,8,1993,1993,BrkFace,68.0,PConc,310,0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,1993.0,2,420,232,63,0,0,0,0,480,4,2009,185000,12.128111104060462
96,97,78.0,10264,IR1,Gtl,CollgCr,7,5,1999,1999,BrkFace,183.0,PConc,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,1999.0,2,472,158,29,0,0,0,0,0,8,2006,214000,12.273731294003989
97,98,73.0,10921,Reg,Gtl,Edwards,4,5,1965,1965,BrkFace,48.0,CBlock,520,0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1965.0,1,432,120,0,0,0,0,0,0,5,2007,94750,11.458997122944673
98,99,85.0,10625,Reg,Gtl,Edwards,5,5,1920,1950,None,0.0,BrkTil,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1920.0,1,366,0,0,77,0,0,0,400,5,2010,83000,11.326595886778735
99,100,77.0,9320,IR1,Gtl,NAmes,4,5,1959,1959,None,0.0,CBlock,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,1959.0,0,0,352,0,0,0,0,0,400,1,2010,128950,11.76718001130949
100,101,70.04995836802665,10603,IR1,Gtl,NWAmes,6,7,1977,2001,BrkFace,28.0,PConc,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,1977.0,2,480,168,68,0,0,0,0,0,2,2010,205000,12.230765258120545
101,102,77.0,9206,Reg,Gtl,SawyerW,6,5,1985,1985,BrkFace,336.0,CBlock,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,1985.0,2,476,192,46,0,0,0,0,0,6,2010,178000,12.089538829274222
102,103,64.0,7018,Reg,Gtl,SawyerW,5,5,1979,1979,None,0.0,Slab,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,1979.0,2,410,0,0,0,0,0,0,0,6,2009,118964,11.686576205316552
103,104,94.0,10402,IR1,Gtl,CollgCr,7,5,2009,2009,None,0.0,PConc,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,2009.0,3,740,0,36,0,0,0,0,0,5,2010,198900,12.200557464842063
104,105,70.04995836802665,7758,Reg,Gtl,IDOTRR,7,4,1931,1950,BrkFace,600.0,PConc,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1951.0,1,240,0,0,0,0,184,0,0,6,2007,169500,12.040608205802641
105,106,75.0,9375,Reg,Gtl,Somerst,8,5,2003,2004,BrkFace,768.0,PConc,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2003.0,2,648,140,45,0,0,0,0,0,8,2008,250000,12.429216196844383
106,107,60.0,10800,Reg,Gtl,OldTown,4,7,1885,1995,None,0.0,BrkTil,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1954.0,1,273,0,0,0,0,0,0,450,8,2007,100000,11.512925464970229
107,108,50.0,6000,Reg,Gtl,OldTown,5,5,1948,1950,None,0.0,CBlock,104,169,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1948.0,1,250,0,0,0,0,0,0,0,4,2008,115000,11.652687407345388
108,109,85.0,8500,Reg,Gtl,IDOTRR,5,7,1919,2005,None,0.0,CBlock,0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,1919.0,0,0,0,0,144,0,0,0,0,8,2007,115000,11.652687407345388
