,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,SalePrice,SalePrice_log,TotalSF,Age,AgeRemod,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
54,55,80,60.0,7134,5,5,0.0,TA,384,0,384,1360,1360,3,1,6,1,572,0,130000,11.77528972943772,1744,52,52,50,1.0,0,0,1,0,0,0,1,1,0,1
55,56,20,100.0,10175,6,5,272.0,TA,490,935,1425,1425,1425,3,1,7,1,576,0,180500,12.103486056755072,2850,44,44,407,2.0,0,0,1,0,0,1,0,1,0,1
56,57,160,24.0,2645,8,5,456.0,Gd,649,321,970,983,1739,3,1,7,0,480,115,172500,12.058152515453552,2709,10,9,0,3.5,0,1,0,1,0,0,0,2,0,1
57,58,60,89.0,11645,7,5,0.0,Gd,0,860,860,860,1720,3,1,7,0,565,0,196500,12.188417710291453,2580,2,2,70,2.5,0,1,1,0,0,1,0,2,0,1
58,59,60,66.0,13682,10,5,1031.0,Ex,0,1410,1410,1426,2945,3,1,10,1,641,192,438780,12.991753427493052,4355,0,0,37,3.5,3,1,1,1,0,1,0,2,0,2
59,60,20,60.0,7200,5,7,0.0,TA,632,148,780,780,780,2,1,4,0,352,196,124900,11.73526869611367,1560,36,36,0,1.0,0,0,0,1,0,0,0,1,0,1
60,61,20,63.0,13072,6,5,0.0,TA,941,217,1158,1158,1158,3,1,5,0,576,0,158000,11.970350312009105,2316,2,2,50,2.5,0,0,1,0,0,0,0,2,0,1
61,62,75,60.0,7200,5,7,0.0,TA,0,530,530,581,1111,3,1,6,0,288,0,101000,11.522875795823397,1641,87,11,144,1.0,0,1,1,0,0,0,0,0,0,0
62,63,120,44.0,6442,8,5,178.0,Gd,24,1346,1370,1370,1370,2,1,6,1,484,120,202500,12.218495165528731,2740,1,1,49,2.0,0,0,1,1,0,1,0,2,1,2
63,64,70,50.0,10300,7,6,0.0,TA,0,576,576,902,1710,3,1,9,0,480,12,140000,11.84939770159144,2286,89,60,75,2.0,0,1,1,1,0,1,0,0,0,1
64,65,60,70.04995836802665,9375,7,5,573.0,TA,739,318,1057,1057,2034,3,1,8,0,645,576,219500,12.299107511497363,3091,12,11,36,3.5,0,1,1,1,0,0,0,2,0,1
65,66,60,76.0,9591,8,5,344.0,Gd,0,1143,1143,1143,2473,4,1,9,1,852,192,317000,12.666657052859417,3616,3,2,151,2.5,3,1,1,1,0,0,0,2,0,2
66,67,20,70.04995836802665,19900,7,5,287.0,TA,912,1035,1947,2207,2207,3,1,7,1,576,301,180000,12.100712129872347,4154,40,21,0,3.0,0,0,0,1,0,0,0,1,0,1
67,68,20,72.0,10665,7,5,167.0,Gd,1013,440,1453,1479,1479,3,1,7,0,558,144,226000,12.328290278254423,2932,4,4,29,3.0,0,0,1,1,0,1,0,2,0,1
68,69,30,47.0,4608,4,6,0.0,TA,0,747,747,747,747,2,1,4,0,220,0,80000,11.289781913656018,1494,65,60,0,1.0,0,0,0,0,0,0,0,1,0,1
69,70,50,81.0,15593,7,4,0.0,Gd,603,701,1304,1304,2287,3,1,7,1,667,0,225000,12.323855681186558,3591,53,53,135,2.0,0,1,1,0,0,0,0,1,0,1
70,71,20,95.0,13651,7,6,1115.0,TA,1880,343,2223,2223,2223,3,1,8,2,516,300,244000,12.404923504275338,4446,34,34,0,3.0,0,0,0,1,0,1,0,1,0,1
71,72,20,69.0,7599,4,6,0.0,TA,565,280,845,845,845,2,1,4,0,360,0,129500,11.771436160121729,1690,25,1,0,2.0,0,0,0,0,0,0,0,1,0,1
72,73,60,74.0,10141,7,5,40.0,TA,0,832,832,885,1718,3,1,7,1,427,0,185000,12.128111104060462,2550,11,11,385,2.5,0,1,1,0,0,1,0,2,0,1
73,74,20,85.0,10200,5,7,104.0,TA,320,404,1086,1086,1086,3,1,6,0,490,0,144900,11.883799128308773,2172,56,7,0,2.0,0,0,0,0,0,0,0,1,0,1
74,75,50,60.0,5790,3,6,0.0,Gd,0,840,840,840,1605,3,2,8,0,379,0,107400,11.584315461056901,2445,95,60,202,2.0,0,1,1,0,0,0,0,1,0,1
75,76,180,21.0,1596,4,5,0.0,TA,462,0,462,526,988,2,1,5,0,297,120,91000,11.418614785498987,1450,36,36,101,2.0,0,1,1,1,0,0,0,1,0,0
76,77,20,70.04995836802665,8475,4,7,0.0,TA,228,724,952,952,952,2,1,4,0,283,0,135750,11.818570237796182,1904,52,52,0,1.0,0,0,0,0,0,1,0,1,0,1
77,78,50,50.0,8635,5,5,0.0,TA,336,295,672,1072,1285,2,1,6,0,240,0,127000,11.751942365440728,1957,60,7,0,2.0,0,1,0,0,0,0,0,1,0,1
78,79,90,72.0,10778,4,5,0.0,TA,0,1768,1768,1768,1768,4,2,8,0,0,0,136500,11.824079893607152,3536,42,42,0,2.0,0,0,0,0,0,0,0,1,0,1
79,80,50,60.0,10440,5,6,0.0,TA,0,440,440,682,1230,2,1,5,0,440,74,110000,11.608235644774552,1670,99,28,128,1.5,0,1,1,1,0,0,0,2,0,1
80,81,60,100.0,13000,6,6,576.0,TA,448,448,896,1182,2142,4,1,8,1,509,0,193500,12.173032791451973,3038,41,41,324,2.5,0,1,1,0,0,0,0,1,0,1
81,82,120,32.0,4500,6,5,443.0,TA,1201,36,1237,1337,1337,2,1,5,0,405,0,153500,11.941455846009388,2574,8,8,199,3.0,0,0,1,0,0,0,0,2,0,1
82,83,20,78.0,10206,8,5,468.0,TA,33,1530,1563,1563,1563,3,1,6,1,758,144,245000,12.409013489526863,3126,1,1,99,2.0,3,0,1,1,0,0,0,2,1,1
83,84,20,80.0,8892,5,5,66.0,TA,0,1065,1065,1065,1065,3,1,6,0,461,74,126500,11.747997587149712,2130,47,47,0,1.5,0,0,0,1,0,1,0,1,0,1
84,85,80,70.04995836802665,8530,7,5,22.0,TA,0,384,384,804,1474,3,1,7,1,400,120,168500,12.034691028774553,1858,14,13,72,2.5,0,1,1,1,0,1,0,2,0,1
85,86,60,121.0,16059,8,5,284.0,Gd,0,1288,1288,1301,2417,4,1,9,1,462,127,260000,12.468436909997665,3705,15,14,82,2.5,0,1,1,1,0,0,0,1,0,2
86,87,60,122.0,11911,6,5,0.0,Gd,0,684,684,684,1560,3,1,6,1,400,100,174000,12.066810578196666,2244,4,4,38,2.5,0,1,1,1,0,1,0,2,0,1
87,88,160,40.0,3951,6,5,76.0,Gd,0,612,612,612,1224,2,1,4,0,528,0,164500,12.010665849187564,1836,0,0,234,2.5,0,1,1,0,0,0,0,2,1,1
88,89,50,105.0,8470,3,2,0.0,Fa,0,1013,1013,1013,1526,2,1,6,0,0,0,85000,11.350406535472453,2539,94,27,156,1.0,0,0,1,0,0,1,0,1,0,0
89,90,20,60.0,8070,4,5,0.0,TA,588,402,990,990,990,3,1,5,0,0,0,123600,11.724805824005728,1980,13,12,0,2.0,0,0,0,0,0,0,0,2,0,1
90,91,20,60.0,7200,4,5,0.0,TA,0,0,0,1040,1040,2,1,4,0,420,0,109900,11.607326140391713,1040,56,56,29,1.0,0,0,1,0,0,0,0,0,0,1
91,92,20,85.0,8500,5,3,203.0,TA,600,635,1235,1235,1235,2,1,6,0,480,0,98600,11.498826540590727,2470,45,45,0,1.0,0,0,0,0,0,0,0,1,0,1
92,93,30,80.0,13360,5,7,0.0,TA,713,163,876,964,964,2,1,5,0,432,0,163500,12.004568269319446,1840,88,3,44,2.0,0,0,1,0,0,1,0,0,0,1
93,94,190,60.0,7200,6,6,0.0,TA,1046,168,1214,1260,2291,4,2,9,1,506,0,133900,11.804848531679264,3505,97,9,99,2.5,0,1,1,0,0,0,0,0,0,1
94,95,60,69.0,9337,6,5,0.0,TA,648,176,824,905,1786,3,1,7,0,684,0,204750,12.229545001715316,2610,10,10,162,3.5,0,1,1,0,0,1,0,2,0,1
95,96,60,70.04995836802665,9765,6,8,68.0,Ex,310,370,680,680,1470,3,1,6,1,420,232,185000,12.128111104060462,2150,16,16,63,2.5,0,1,1,1,0,1,0,2,0,1
96,97,20,78.0,10264,7,5,183.0,Gd,1162,426,1588,1588,1588,3,1,6,0,472,158,214000,12.273731294003989,3176,7,7,29,2.0,0,0,1,1,0,1,0,2,0,1
97,98,20,73.0,10921,4,5,48.0,TA,520,440,960,960,960,3,1,6,0,432,120,94750,11.458997122944673,1920,42,42,0,2.0,0,0,0,1,0,0,0,1,0,1
98,99,30,85.0,10625,5,5,0.0,TA,108,350,458,835,835,2,1,5,0,366,0,83000,11.326595886778735,1293,90,60,77,1.0,0,0,1,0,0,0,0,0,0,1
99,100,20,77.0,9320,4,5,0.0,TA,569,381,950,1225,1225,3,1,6,0,0,352,128950,11.76718001130949,2175,51,51,0,2.5,0,0,0,1,0,1,0,1,0,1
100,101,20,70.04995836802665,10603,6,7,28.0,TA,1200,410,1610,1610,1610,3,1,6,2,480,168,205000,12.230765258120545,3220,33,9,68,3.0,0,0,1,1,0,1,0,2,0,1
101,102,60,77.0,9206,6,5,336.0,Gd,0,741,741,977,1732,3,1,7,1,476,192,178000,12.089538829274222,2473,25,25,46,2.5,0,1,1,1,0,0,0,1,0,1
102,103,90,64.0,7018,5,5,0.0,TA,0,0,0,1535,1535,4,2,8,0,410,0,118964,11.686576205316552,1535,30,30,0,2.0,0,0,0,0,0,0,0,0,0,1
103,104,20,94.0,10402,7,5,0.0,TA,0,1226,1226,1226,1226,3,1,6,0,740,0,198900,12.200557464842063,2452,1,1,36,2.0,3,0,1,0,0,1,0,2,0,1
104,105,50,70.04995836802665,7758,7,4,600.0,TA,224,816,1040,1226,1818,4,1,7,2,240,0,169500,12.040608205802641,2858,76,57,184,1.5,0,1,1,0,0,0,0,2,0,0
105,106,60,75.0,9375,8,5,768.0,Gd,0,1053,1053,1053,1992,3,1,9,1,648,140,250000,12.429216196844383,3045,5,4,45,2.5,0,1,1,1,0,0,0,2,0,1
106,107,30,60.0,10800,4,7,0.0,TA,0,641,641,1047,1047,2,1,6,0,273,0,100000,11.512925464970229,1688,122,12,0,1.0,0,0,0,0,0,0,0,0,0,1
107,108,20,50.0,6000,5,5,0.0,TA,104,516,789,789,789,2,1,5,0,250,0,115000,11.652687407345388,1578,60,58,0,1.0,0,0,0,0,0,0,0,1,0,1
108,109,50,85.0,8500,5,7,0.0,TA,0,793,793,997,1517,3,1,7,0,0,0,115000,11.652687407345388,2310,88,2,144,2.0,0,1,1,0,0,0,0,1,0,0
109,110,20,105.0,11751,6,6,480.0,TA,705,1139,1844,1844,1844,3,1,7,1,546,0,190000,12.154779351142624,3688,33,33,122,2.0,0,0,1,0,0,1,0,1,0,1
110,111,50,75.0,9525,6,4,0.0,TA,444,550,994,1216,1855,4,1,7,0,325,182,136900,11.82700601127654,2849,52,34,0,2.0,0,1,0,1,0,0,0,1,0,1
111,112,80,70.04995836802665,7750,7,5,0.0,TA,250,134,384,774,1430,3,1,7,1,400,180,180000,12.100712129872347,1814,10,10,0,2.5,0,1,0,1,0,1,0,2,0,1
112,113,60,77.0,9965,7,5,220.0,Gd,984,280,1264,1282,2696,4,1,10,1,792,120,383970,12.858319703517948,3960,0,0,352,3.5,3,1,1,1,0,0,0,2,1,1
113,114,20,70.04995836802665,21000,6,5,184.0,TA,35,905,1809,2259,2259,3,1,7,2,450,166,217000,12.287652632522597,4068,54,54,312,3.0,0,0,1,1,0,0,0,1,0,1
114,115,70,61.0,7259,6,8,0.0,TA,774,104,1028,1436,2320,3,1,9,1,180,224,259500,12.46651198158808,3348,62,5,0,3.5,0,1,0,1,0,1,1,1,0,1
115,116,160,34.0,3230,6,5,1129.0,TA,419,310,729,729,1458,2,1,5,1,440,0,176000,12.078239274020289,2187,8,8,32,2.5,0,1,1,0,0,0,0,2,0,1
116,117,20,70.04995836802665,11616,5,5,116.0,TA,170,252,1092,1092,1092,3,1,6,1,288,0,139000,11.842229212112828,2184,47,47,164,1.5,0,0,1,0,0,0,0,1,0,1
117,118,20,74.0,8536,5,5,0.0,TA,0,1125,1125,1125,1125,2,1,5,0,430,80,155000,11.951180395901384,2250,1,0,64,1.5,0,0,1,1,0,0,0,2,0,1
118,119,60,90.0,12376,7,5,0.0,TA,1470,203,1673,1699,3222,5,1,11,2,594,367,320000,12.676076274775909,4895,20,20,0,4.0,3,1,0,1,0,0,0,2,0,1
119,120,60,65.0,8461,6,5,0.0,Gd,0,728,728,728,1456,3,1,8,1,390,0,163990,12.007560729337492,2184,1,0,24,2.5,0,1,1,0,0,0,0,2,0,1
120,121,80,70.04995836802665,21453,6,5,0.0,TA,938,0,938,988,988,1,1,4,2,540,0,180000,12.100712129872347,1926,37,37,260,2.0,0,0,1,0,0,1,1,1,0,1
121,122,50,50.0,6060,4,5,0.0,TA,0,732,732,772,1123,3,1,4,0,264,0,100000,11.512925464970229,1855,68,57,140,1.0,0,1,1,0,0,0,0,2,0,0
122,123,20,75.0,9464,6,7,135.0,TA,570,510,1080,1080,1080,3,1,5,0,288,0,136000,11.820410164718188,2160,50,50,130,1.0,0,0,1,0,0,0,0,1,0,1
123,124,120,55.0,7892,6,5,0.0,Gd,300,899,1199,1199,1199,2,1,5,0,530,0,153900,11.94405831982697,2398,15,15,63,2.0,0,0,1,0,0,0,0,2,0,1
124,125,20,48.0,17043,6,5,0.0,TA,0,1362,1362,1586,1586,3,1,7,1,435,192,181000,12.106252310247962,2948,30,11,0,2.0,0,0,0,1,0,1,0,1,0,1
125,126,190,60.0,6780,6,8,0.0,TA,490,30,520,520,754,2,1,5,0,0,53,84500,11.344506813345266,1274,71,24,0,2.0,0,0,0,1,0,0,0,1,0,0
126,127,120,70.04995836802665,4928,6,5,0.0,TA,120,958,1078,958,958,2,1,5,1,440,0,128000,11.759785542901755,2036,31,31,205,2.0,0,0,1,0,0,1,0,1,0,1
127,128,45,55.0,4388,5,7,0.0,TA,116,556,672,840,840,3,1,5,1,0,0,87000,11.37366339763672,1512,77,57,0,1.0,0,0,0,0,0,1,0,0,0,1
128,129,60,69.0,7590,6,5,266.0,TA,512,148,660,660,1348,3,1,6,1,453,188,155000,11.951180395901384,2008,40,40,108,1.5,0,1,1,1,0,0,0,1,0,1
129,130,20,69.0,8973,5,7,85.0,TA,567,413,1008,1053,1053,3,1,6,0,750,0,150000,11.918390573078392,2061,48,15,260,2.0,0,0,1,0,0,0,0,1,0,1
130,131,60,88.0,14200,7,6,309.0,TA,445,479,924,1216,2157,4,1,8,2,487,105,226000,12.328290278254423,3081,40,40,66,2.5,0,1,1,1,0,0,0,1,0,1
131,132,60,70.04995836802665,12224,6,5,40.0,Gd,695,297,992,1022,2054,3,1,7,1,390,24,244000,12.404923504275338,3046,9,9,48,3.5,0,1,1,1,0,1,0,2,0,1
132,133,20,75.0,7388,5,6,0.0,TA,405,658,1063,1327,1327,3,1,7,0,624,0,150750,11.923378114589433,2390,48,5,0,2.0,0,0,0,0,0,0,0,1,0,1
133,134,20,70.04995836802665,6853,8,5,136.0,Gd,1005,262,1267,1296,1296,2,1,6,0,471,192,220000,12.301382825334498,2563,8,7,25,3.0,0,0,1,1,0,1,0,2,0,1
134,135,20,78.0,10335,5,6,0.0,TA,570,891,1461,1721,1721,3,1,7,1,440,0,180000,12.100712129872347,3182,38,13,276,2.5,0,0,1,0,0,1,0,1,0,1
135,136,20,80.0,10400,7,6,288.0,TA,0,1304,1304,1682,1682,3,1,7,1,530,98,174000,12.066810578196666,2986,38,38,0,2.0,0,0,0,1,0,0,0,2,0,1
136,137,20,70.04995836802665,10355,5,5,196.0,TA,695,519,1214,1214,1214,3,1,5,1,318,0,143000,11.870599909242044,2428,40,40,111,2.0,0,0,1,0,0,1,0,1,0,1
137,138,90,82.0,11070,7,5,70.0,TA,0,1907,1907,1959,1959,5,2,9,0,766,0,171000,12.049418835484797,3866,18,17,0,3.0,3,0,0,0,0,0,0,1,0,1
138,139,60,73.0,9066,8,5,320.0,Gd,668,336,1004,1004,1852,3,1,7,2,660,224,230000,12.345834587905333,2856,9,8,106,2.5,3,1,1,1,0,1,0,2,0,1
139,140,60,65.0,15426,6,5,0.0,TA,821,107,928,928,1764,3,1,7,0,470,276,231500,12.352335152508426,2692,12,12,99,3.5,0,1,1,1,0,1,0,2,0,1
140,141,20,70.0,10500,4,5,0.0,TA,432,432,864,864,864,3,1,5,1,0,0,115000,11.652687407345388,1728,39,39,0,1.0,0,0,0,0,0,0,0,1,0,1
141,142,20,78.0,11645,7,5,0.0,Gd,1300,434,1734,1734,1734,3,1,7,0,660,160,260000,12.468436909997665,3468,1,1,24,3.0,0,0,1,1,0,0,0,2,0,1
142,143,50,71.0,8520,5,4,0.0,TA,507,403,910,910,1385,4,1,6,0,720,0,166000,12.01974306733868,2295,58,58,0,2.0,0,1,0,0,0,0,0,1,0,1
143,144,20,78.0,10335,7,5,183.0,Gd,679,811,1490,1501,1501,3,1,6,0,577,144,204000,12.225875272826354,2991,10,10,29,3.0,0,0,1,1,0,1,0,2,0,1
